Data plane is up
Running irtt
UE IP is 10.45.0.117
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.82ms rd=-13m54s sd=13m54s ipdv=n/a
seq=1 rtt=22.96ms rd=-14m53s sd=14m53s ipdv=869µs
seq=2 rtt=20.63ms rd=-15m51s sd=15m51s ipdv=2.33ms
seq=3 rtt=18.99ms rd=-16m48s sd=16m48s ipdv=1.64ms
seq=4 rtt=16.72ms rd=-17m46s sd=17m46s ipdv=2.27ms
seq=5 rtt=14.26ms rd=-18m43s sd=18m43s ipdv=2.47ms
seq=6 rtt=12.37ms rd=-19m40s sd=19m40s ipdv=1.88ms
seq=7 rtt=10.03ms rd=-20m37s sd=20m37s ipdv=2.35ms
seq=8 rtt=30.83ms rd=-21m36s sd=21m36s ipdv=20.8ms
seq=9 rtt=28.63ms rd=-22m34s sd=22m34s ipdv=2.2ms
seq=10 rtt=25.9ms rd=-23m30s sd=23m30s ipdv=2.73ms
seq=11 rtt=23.22ms rd=-24m27s sd=24m27s ipdv=2.68ms
seq=12 rtt=20.04ms rd=-25m24s sd=25m24s ipdv=3.18ms
seq=13 rtt=17.99ms rd=-26m21s sd=26m21s ipdv=2.05ms
seq=14 rtt=15.1ms rd=-27m18s sd=27m18s ipdv=2.89ms
seq=15 rtt=13.04ms rd=-28m15s sd=28m15s ipdv=2.05ms
seq=16 rtt=10.14ms rd=-29m12s sd=29m12s ipdv=2.9ms
seq=17 rtt=9.55ms rd=-30m10s sd=30m10s ipdv=592µs
seq=18 rtt=30.23ms rd=-31m10s sd=31m10s ipdv=20.68ms
seq=19 rtt=29.64ms rd=-32m8s sd=32m8s ipdv=590µs
seq=20 rtt=28.83ms rd=-33m7s sd=33m7s ipdv=811µs
seq=21 rtt=27.19ms rd=-34m5s sd=34m5s ipdv=1.63ms
seq=22 rtt=26.28ms rd=-35m3s sd=35m3s ipdv=914µs
seq=23 rtt=24.14ms rd=-36m1s sd=36m1s ipdv=2.14ms
seq=24 rtt=24.08ms rd=-37m0s sd=37m0s ipdv=64.9µs
seq=25 rtt=22.62ms rd=-37m58s sd=37m58s ipdv=1.46ms
seq=26 rtt=21.86ms rd=-38m57s sd=38m57s ipdv=755µs
seq=27 rtt=20.12ms rd=-39m55s sd=39m55s ipdv=1.74ms
seq=28 rtt=19.59ms rd=-40m53s sd=40m54s ipdv=532µs
seq=29 rtt=18.25ms rd=-41m51s sd=41m51s ipdv=1.34ms
seq=30 rtt=17.31ms rd=-42m51s sd=42m51s ipdv=946µs
seq=31 rtt=16.97ms rd=-43m49s sd=43m49s ipdv=340µs
seq=32 rtt=16.02ms rd=-44m48s sd=44m48s ipdv=948µs
seq=33 rtt=15.65ms rd=-45m47s sd=45m47s ipdv=365µs
seq=34 rtt=14.42ms rd=-46m46s sd=46m46s ipdv=1.23ms
seq=35 rtt=14.03ms rd=-47m44s sd=47m44s ipdv=388µs
seq=36 rtt=13.27ms rd=-48m43s sd=48m43s ipdv=761µs
seq=37 rtt=13.14ms rd=-49m42s sd=49m42s ipdv=129µs
seq=38 rtt=12.02ms rd=-50m41s sd=50m41s ipdv=1.12ms
seq=39 rtt=11.94ms rd=-51m40s sd=51m40s ipdv=81.8µs
seq=40 rtt=10.9ms rd=-52m39s sd=52m39s ipdv=1.04ms
seq=41 rtt=9.68ms rd=-53m37s sd=53m37s ipdv=1.22ms
seq=42 rtt=9.83ms rd=-54m36s sd=54m36s ipdv=150µs
seq=43 rtt=10.15ms rd=-55m35s sd=55m35s ipdv=311µs
seq=44 rtt=31.22ms rd=-56m36s sd=56m36s ipdv=21.07ms
seq=45 rtt=30ms rd=-57m35s sd=57m35s ipdv=1.22ms
seq=46 rtt=29.7ms rd=-58m34s sd=58m34s ipdv=300µs
seq=47 rtt=28.89ms rd=-59m33s sd=59m33s ipdv=810µs
seq=48 rtt=28.52ms rd=-1h0m31s sd=1h0m31s ipdv=369µs
seq=49 rtt=27.76ms rd=-1h1m30s sd=1h1m30s ipdv=756µs
seq=50 rtt=26.67ms rd=-1h2m28s sd=1h2m28s ipdv=1.09ms
seq=51 rtt=25.99ms rd=-1h3m27s sd=1h3m27s ipdv=687µs
seq=52 rtt=24.88ms rd=-1h4m26s sd=1h4m26s ipdv=1.11ms
seq=53 rtt=25.22ms rd=-1h5m25s sd=1h5m25s ipdv=337µs
seq=54 rtt=23.69ms rd=-1h6m23s sd=1h6m23s ipdv=1.52ms
seq=55 rtt=22.84ms rd=-1h7m22s sd=1h7m22s ipdv=853µs
