Data plane is up
Running irtt
UE IP is 10.45.0.90
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.73ms rd=-13m38s sd=13m38s ipdv=n/a
seq=1 rtt=24.45ms rd=-14m37s sd=14m37s ipdv=725µs
seq=2 rtt=25.51ms rd=-15m35s sd=15m35s ipdv=1.05ms
seq=3 rtt=24.06ms rd=-16m33s sd=16m33s ipdv=1.44ms
seq=4 rtt=22.67ms rd=-17m30s sd=17m30s ipdv=1.4ms
seq=5 rtt=20.84ms rd=-18m28s sd=18m28s ipdv=1.82ms
seq=6 rtt=19.04ms rd=-19m25s sd=19m25s ipdv=1.81ms
seq=7 rtt=17.02ms rd=-20m22s sd=20m22s ipdv=2.01ms
seq=8 rtt=15.32ms rd=-21m19s sd=21m19s ipdv=1.7ms
seq=9 rtt=13.55ms rd=-22m16s sd=22m16s ipdv=1.77ms
seq=10 rtt=10.66ms rd=-23m13s sd=23m13s ipdv=2.89ms
seq=11 rtt=9.83ms rd=-24m9s sd=24m9s ipdv=835µs
seq=12 rtt=30.88ms rd=-25m9s sd=25m9s ipdv=21.06ms
seq=13 rtt=28.62ms rd=-26m6s sd=26m6s ipdv=2.27ms
seq=14 rtt=26.49ms rd=-27m3s sd=27m3s ipdv=2.13ms
seq=15 rtt=24.52ms rd=-28m0s sd=28m0s ipdv=1.96ms
seq=16 rtt=22.67ms rd=-28m57s sd=28m57s ipdv=1.86ms
seq=17 rtt=20.72ms rd=-29m54s sd=29m54s ipdv=1.95ms
seq=18 rtt=19.34ms rd=-30m51s sd=30m51s ipdv=1.38ms
seq=19 rtt=28.31ms rd=-31m51s sd=31m51s ipdv=8.97ms
seq=20 rtt=28.37ms rd=-32m49s sd=32m49s ipdv=62µs
seq=21 rtt=27.51ms rd=-33m47s sd=33m47s ipdv=868µs
seq=22 rtt=27.57ms rd=-34m46s sd=34m46s ipdv=63.4µs
seq=23 rtt=26.07ms rd=-35m44s sd=35m44s ipdv=1.5ms
seq=24 rtt=26.45ms rd=-36m43s sd=36m43s ipdv=383µs
seq=25 rtt=24.77ms rd=-37m41s sd=37m41s ipdv=1.68ms
seq=26 rtt=25.17ms rd=-38m39s sd=38m39s ipdv=399µs
seq=27 rtt=23.9ms rd=-39m38s sd=39m38s ipdv=1.27ms
seq=28 rtt=24.12ms rd=-40m36s sd=40m36s ipdv=222µs
seq=29 rtt=22.65ms rd=-41m34s sd=41m34s ipdv=1.47ms
seq=30 rtt=22.97ms rd=-42m33s sd=42m33s ipdv=320µs
seq=31 rtt=22.38ms rd=-43m32s sd=43m32s ipdv=594µs
seq=32 rtt=22.96ms rd=-44m31s sd=44m31s ipdv=582µs
seq=33 rtt=22.47ms rd=-45m29s sd=45m29s ipdv=483µs
seq=34 rtt=22.97ms rd=-46m28s sd=46m28s ipdv=492µs
seq=35 rtt=22.39ms rd=-47m27s sd=47m27s ipdv=574µs
seq=36 rtt=21.83ms rd=-48m26s sd=48m26s ipdv=561µs
seq=37 rtt=22.45ms rd=-49m25s sd=49m25s ipdv=621µs
seq=38 rtt=21.75ms rd=-50m24s sd=50m24s ipdv=698µs
seq=39 rtt=21.2ms rd=-51m22s sd=51m22s ipdv=552µs
seq=40 rtt=21.84ms rd=-52m21s sd=52m21s ipdv=638µs
seq=41 rtt=21.22ms rd=-53m20s sd=53m20s ipdv=617µs
seq=42 rtt=22.07ms rd=-54m19s sd=54m19s ipdv=844µs
seq=43 rtt=21.28ms rd=-55m17s sd=55m17s ipdv=784µs
seq=44 rtt=21.75ms rd=-56m16s sd=56m16s ipdv=468µs
seq=45 rtt=21.08ms rd=-57m15s sd=57m15s ipdv=666µs
seq=46 rtt=20.62ms rd=-58m14s sd=58m14s ipdv=462µs
seq=47 rtt=20.03ms rd=-59m12s sd=59m12s ipdv=592µs
seq=48 rtt=19.86ms rd=-1h0m11s sd=1h0m11s ipdv=171µs
seq=49 rtt=19.89ms rd=-1h1m9s sd=1h1m9s ipdv=32.6µs
seq=50 rtt=19.41ms rd=-1h2m8s sd=1h2m8s ipdv=483µs
seq=51 rtt=18.99ms rd=-1h3m7s sd=1h3m7s ipdv=423µs
seq=52 rtt=18.9ms rd=-1h4m6s sd=1h4m6s ipdv=88.6µs
seq=53 rtt=19.06ms rd=-1h5m4s sd=1h5m4s ipdv=160µs
seq=54 rtt=18.69ms rd=-1h6m3s sd=1h6m3s ipdv=363µs
seq=55 rtt=18.03ms rd=-1h7m1s sd=1h7m1s ipdv=660µs
