Data plane is up
Running irtt
UE IP is 10.45.0.120
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.6ms rd=-16m26s sd=16m26s ipdv=n/a
seq=1 rtt=21.51ms rd=-17m24s sd=17m24s ipdv=2.08ms
seq=2 rtt=19.79ms rd=-18m21s sd=18m21s ipdv=1.72ms
seq=3 rtt=18.23ms rd=-19m19s sd=19m19s ipdv=1.56ms
seq=4 rtt=16.73ms rd=-20m15s sd=20m15s ipdv=1.5ms
seq=5 rtt=14.49ms rd=-21m13s sd=21m13s ipdv=2.24ms
seq=6 rtt=12.7ms rd=-22m9s sd=22m9s ipdv=1.79ms
seq=7 rtt=10.78ms rd=-23m6s sd=23m6s ipdv=1.92ms
seq=8 rtt=9.65ms rd=-24m3s sd=24m3s ipdv=1.13ms
seq=9 rtt=30.26ms rd=-25m2s sd=25m2s ipdv=20.61ms
seq=10 rtt=27.82ms rd=-26m0s sd=26m0s ipdv=2.45ms
seq=11 rtt=26.42ms rd=-26m56s sd=26m56s ipdv=1.4ms
seq=12 rtt=23.98ms rd=-27m53s sd=27m53s ipdv=2.44ms
seq=13 rtt=22.55ms rd=-28m50s sd=28m50s ipdv=1.43ms
seq=14 rtt=19.41ms rd=-29m47s sd=29m47s ipdv=3.14ms
seq=15 rtt=19.43ms rd=-30m45s sd=30m45s ipdv=15.8µs
seq=16 rtt=19.08ms rd=-31m44s sd=31m44s ipdv=348µs
seq=17 rtt=17.85ms rd=-32m42s sd=32m42s ipdv=1.23ms
seq=18 rtt=16.98ms rd=-33m40s sd=33m40s ipdv=874µs
seq=19 rtt=16.71ms rd=-34m38s sd=34m38s ipdv=271µs
seq=20 rtt=16.58ms rd=-35m37s sd=35m37s ipdv=124µs
seq=21 rtt=15.74ms rd=-36m35s sd=36m35s ipdv=841µs
seq=22 rtt=15.64ms rd=-37m34s sd=37m34s ipdv=102µs
seq=23 rtt=14.92ms rd=-38m32s sd=38m32s ipdv=718µs
seq=24 rtt=14.34ms rd=-39m30s sd=39m30s ipdv=582µs
seq=25 rtt=13.2ms rd=-40m28s sd=40m28s ipdv=1.14ms
seq=26 rtt=13.19ms rd=-41m27s sd=41m27s ipdv=10.3µs
seq=27 rtt=12.01ms rd=-42m25s sd=42m25s ipdv=1.17ms
seq=28 rtt=11.45ms rd=-43m24s sd=43m24s ipdv=568µs
seq=29 rtt=11.92ms rd=-44m23s sd=44m23s ipdv=470µs
seq=30 rtt=11.85ms rd=-45m22s sd=45m22s ipdv=67.2µs
seq=31 rtt=12.28ms rd=-46m21s sd=46m21s ipdv=431µs
seq=32 rtt=11.96ms rd=-47m20s sd=47m20s ipdv=320µs
seq=33 rtt=11.61ms rd=-48m18s sd=48m18s ipdv=353µs
seq=34 rtt=12.05ms rd=-49m17s sd=49m17s ipdv=444µs
seq=35 rtt=12.16ms rd=-50m16s sd=50m16s ipdv=107µs
seq=36 rtt=12.05ms rd=-51m15s sd=51m15s ipdv=110µs
seq=37 rtt=12.32ms rd=-52m13s sd=52m13s ipdv=273µs
seq=38 rtt=11.56ms rd=-53m12s sd=53m12s ipdv=761µs
seq=39 rtt=12.27ms rd=-54m11s sd=54m11s ipdv=714µs
seq=40 rtt=11.49ms rd=-55m10s sd=55m10s ipdv=780µs
seq=41 rtt=11.06ms rd=-56m8s sd=56m8s ipdv=433µs
seq=42 rtt=10.85ms rd=-57m7s sd=57m7s ipdv=213µs
seq=43 rtt=11.11ms rd=-58m6s sd=58m6s ipdv=265µs
seq=44 rtt=10.75ms rd=-59m5s sd=59m5s ipdv=359µs
seq=45 rtt=10.35ms rd=-1h0m3s sd=1h0m3s ipdv=405µs
seq=46 rtt=10.7ms rd=-1h1m2s sd=1h1m2s ipdv=350µs
seq=47 rtt=9.7ms rd=-1h2m0s sd=1h2m0s ipdv=994µs
seq=48 rtt=9.76ms rd=-1h2m59s sd=1h2m59s ipdv=57.2µs
seq=49 rtt=9.61ms rd=-1h3m58s sd=1h3m58s ipdv=146µs
seq=50 rtt=9.64ms rd=-1h4m57s sd=1h4m57s ipdv=26.3µs
seq=51 rtt=9.66ms rd=-1h5m55s sd=1h5m55s ipdv=18.3µs
seq=52 rtt=9.76ms rd=-1h6m54s sd=1h6m54s ipdv=100µs
