Data plane is up
Running irtt
UE IP is 10.45.0.46
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.87ms rd=-13m41s sd=13m41s ipdv=n/a
seq=1 rtt=23.96ms rd=-14m40s sd=14m40s ipdv=96.4µs
seq=2 rtt=22.7ms rd=-15m38s sd=15m38s ipdv=1.26ms
seq=3 rtt=21.42ms rd=-16m35s sd=16m35s ipdv=1.28ms
seq=4 rtt=20.39ms rd=-17m33s sd=17m33s ipdv=1.03ms
seq=5 rtt=18.9ms rd=-18m30s sd=18m30s ipdv=1.5ms
seq=6 rtt=16.88ms rd=-19m28s sd=19m28s ipdv=2.02ms
seq=7 rtt=14.61ms rd=-20m25s sd=20m25s ipdv=2.27ms
seq=8 rtt=12.38ms rd=-21m21s sd=21m21s ipdv=2.23ms
seq=9 rtt=10.67ms rd=-22m18s sd=22m18s ipdv=1.71ms
seq=10 rtt=9.83ms rd=-23m15s sd=23m15s ipdv=831µs
seq=11 rtt=29.93ms rd=-24m15s sd=24m15s ipdv=20.09ms
seq=12 rtt=28.54ms rd=-25m12s sd=25m12s ipdv=1.38ms
seq=13 rtt=26.56ms rd=-26m9s sd=26m9s ipdv=1.98ms
seq=14 rtt=24.82ms rd=-27m5s sd=27m6s ipdv=1.74ms
seq=15 rtt=22.61ms rd=-28m2s sd=28m2s ipdv=2.21ms
seq=16 rtt=20.44ms rd=-28m59s sd=28m59s ipdv=2.17ms
seq=17 rtt=18.07ms rd=-29m56s sd=29m56s ipdv=2.38ms
seq=18 rtt=20.04ms rd=-30m54s sd=30m54s ipdv=1.98ms
seq=19 rtt=20.58ms rd=-31m53s sd=31m53s ipdv=536µs
seq=20 rtt=20.05ms rd=-32m51s sd=32m51s ipdv=531µs
seq=21 rtt=19.34ms rd=-33m50s sd=33m50s ipdv=703µs
seq=22 rtt=18ms rd=-34m48s sd=34m48s ipdv=1.34ms
seq=23 rtt=18.12ms rd=-35m46s sd=35m46s ipdv=121µs
seq=24 rtt=16.85ms rd=-36m45s sd=36m45s ipdv=1.27ms
seq=25 rtt=16.89ms rd=-37m43s sd=37m43s ipdv=33.8µs
seq=26 rtt=16.33ms rd=-38m41s sd=38m41s ipdv=557µs
seq=27 rtt=15.88ms rd=-39m40s sd=39m40s ipdv=449µs
seq=28 rtt=14.76ms rd=-40m38s sd=40m38s ipdv=1.12ms
seq=29 rtt=13.71ms rd=-41m36s sd=41m36s ipdv=1.05ms
seq=30 rtt=14.17ms rd=-42m35s sd=42m35s ipdv=457µs
seq=31 rtt=13.53ms rd=-43m34s sd=43m34s ipdv=642µs
seq=32 rtt=13.19ms rd=-44m33s sd=44m33s ipdv=335µs
seq=33 rtt=13.77ms rd=-45m32s sd=45m32s ipdv=581µs
seq=34 rtt=13.17ms rd=-46m30s sd=46m30s ipdv=607µs
seq=35 rtt=13.42ms rd=-47m29s sd=47m29s ipdv=252µs
seq=36 rtt=13.25ms rd=-48m28s sd=48m28s ipdv=167µs
seq=37 rtt=13.42ms rd=-49m27s sd=49m27s ipdv=164µs
seq=38 rtt=13.33ms rd=-50m26s sd=50m26s ipdv=85.3µs
seq=39 rtt=12.74ms rd=-51m24s sd=51m24s ipdv=595µs
seq=40 rtt=12.56ms rd=-52m23s sd=52m23s ipdv=177µs
seq=41 rtt=12.72ms rd=-53m22s sd=53m22s ipdv=165µs
seq=42 rtt=12.64ms rd=-54m21s sd=54m21s ipdv=82.4µs
seq=43 rtt=11.86ms rd=-55m20s sd=55m20s ipdv=776µs
seq=44 rtt=11.57ms rd=-56m18s sd=56m18s ipdv=300µs
seq=45 rtt=12.26ms rd=-57m17s sd=57m17s ipdv=697µs
seq=46 rtt=11.01ms rd=-58m16s sd=58m16s ipdv=1.25ms
seq=47 rtt=10.77ms rd=-59m14s sd=59m14s ipdv=246µs
seq=48 rtt=11.26ms rd=-1h0m13s sd=1h0m13s ipdv=493µs
seq=49 rtt=10.37ms rd=-1h1m11s sd=1h1m11s ipdv=894µs
seq=50 rtt=10.52ms rd=-1h2m10s sd=1h2m10s ipdv=149µs
seq=51 rtt=10.76ms rd=-1h3m9s sd=1h3m9s ipdv=241µs
seq=52 rtt=10.29ms rd=-1h4m8s sd=1h4m8s ipdv=465µs
seq=53 rtt=9.77ms rd=-1h5m6s sd=1h5m6s ipdv=521µs
seq=54 rtt=9.41ms rd=-1h6m5s sd=1h6m5s ipdv=357µs
seq=55 rtt=9.61ms rd=-1h7m4s sd=1h7m4s ipdv=201µs
seq=56 rtt=9.32ms rd=-1h8m2s sd=1h8m2s ipdv=298µs
