Data plane is up
Running irtt
UE IP is 10.45.0.30
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.7ms rd=-14m6s sd=14m6s ipdv=n/a
seq=1 rtt=22.22ms rd=-15m4s sd=15m5s ipdv=1.48ms
seq=2 rtt=20.92ms rd=-16m2s sd=16m2s ipdv=1.3ms
seq=3 rtt=21.38ms rd=-17m0s sd=17m0s ipdv=457µs
seq=4 rtt=20.2ms rd=-17m57s sd=17m57s ipdv=1.18ms
seq=5 rtt=18.04ms rd=-18m55s sd=18m55s ipdv=2.16ms
seq=6 rtt=16.73ms rd=-19m52s sd=19m52s ipdv=1.31ms
seq=7 rtt=14.44ms rd=-20m49s sd=20m49s ipdv=2.28ms
seq=8 rtt=11.84ms rd=-21m46s sd=21m46s ipdv=2.6ms
seq=9 rtt=9.85ms rd=-22m42s sd=22m42s ipdv=1.99ms
seq=10 rtt=9.97ms rd=-23m39s sd=23m39s ipdv=114µs
seq=11 rtt=29.95ms rd=-24m39s sd=24m39s ipdv=19.99ms
seq=12 rtt=27.44ms rd=-25m36s sd=25m36s ipdv=2.51ms
seq=13 rtt=25.93ms rd=-26m33s sd=26m33s ipdv=1.51ms
seq=14 rtt=23.85ms rd=-27m30s sd=27m30s ipdv=2.09ms
seq=15 rtt=22.51ms rd=-28m27s sd=28m27s ipdv=1.33ms
seq=16 rtt=19.77ms rd=-29m23s sd=29m23s ipdv=2.75ms
seq=17 rtt=19.38ms rd=-30m21s sd=30m21s ipdv=386µs
seq=18 rtt=17.72ms rd=-31m19s sd=31m19s ipdv=1.66ms
seq=19 rtt=17.23ms rd=-32m17s sd=32m17s ipdv=484µs
seq=20 rtt=16.8ms rd=-33m16s sd=33m16s ipdv=430µs
seq=21 rtt=15.73ms rd=-34m14s sd=34m14s ipdv=1.07ms
seq=22 rtt=15.39ms rd=-35m12s sd=35m12s ipdv=343µs
seq=23 rtt=14.79ms rd=-36m11s sd=36m11s ipdv=594µs
seq=24 rtt=14.53ms rd=-37m9s sd=37m9s ipdv=259µs
seq=25 rtt=14.33ms rd=-38m8s sd=38m8s ipdv=199µs
seq=26 rtt=13.25ms rd=-39m6s sd=39m6s ipdv=1.09ms
seq=27 rtt=13.08ms rd=-40m4s sd=40m4s ipdv=165µs
seq=28 rtt=12.09ms rd=-41m2s sd=41m2s ipdv=987µs
seq=29 rtt=11.91ms rd=-42m1s sd=42m1s ipdv=186µs
seq=30 rtt=11.71ms rd=-42m59s sd=43m0s ipdv=202µs
seq=31 rtt=11.99ms rd=-43m58s sd=43m58s ipdv=282µs
seq=32 rtt=11.91ms rd=-44m57s sd=44m57s ipdv=76.8µs
seq=33 rtt=12.05ms rd=-45m56s sd=45m56s ipdv=136µs
seq=34 rtt=12.46ms rd=-46m55s sd=46m55s ipdv=411µs
seq=35 rtt=11.95ms rd=-47m54s sd=47m54s ipdv=512µs
seq=36 rtt=12.45ms rd=-48m52s sd=48m52s ipdv=507µs
seq=37 rtt=13.09ms rd=-49m51s sd=49m51s ipdv=632µs
seq=38 rtt=12.96ms rd=-50m50s sd=50m50s ipdv=130µs
seq=39 rtt=12.39ms rd=-51m49s sd=51m49s ipdv=567µs
seq=40 rtt=12.29ms rd=-52m48s sd=52m48s ipdv=99.2µs
seq=41 rtt=12.97ms rd=-53m46s sd=53m47s ipdv=684µs
seq=42 rtt=12.57ms rd=-54m45s sd=54m45s ipdv=404µs
seq=43 rtt=12.65ms rd=-55m44s sd=55m44s ipdv=77.4µs
seq=44 rtt=12.25ms rd=-56m43s sd=56m43s ipdv=400µs
seq=45 rtt=11.45ms rd=-57m41s sd=57m41s ipdv=794µs
seq=46 rtt=11.1ms rd=-58m40s sd=58m40s ipdv=351µs
seq=47 rtt=11.08ms rd=-59m39s sd=59m39s ipdv=22.2µs
seq=48 rtt=10.44ms rd=-1h0m37s sd=1h0m37s ipdv=640µs
seq=49 rtt=10.69ms rd=-1h1m36s sd=1h1m36s ipdv=249µs
seq=50 rtt=10.6ms rd=-1h2m35s sd=1h2m35s ipdv=89.7µs
seq=51 rtt=10.69ms rd=-1h3m33s sd=1h3m33s ipdv=92.7µs
seq=52 rtt=10.6ms rd=-1h4m32s sd=1h4m32s ipdv=94.2µs
seq=53 rtt=9.69ms rd=-1h5m31s sd=1h5m31s ipdv=907µs
seq=54 rtt=10.16ms rd=-1h6m29s sd=1h6m29s ipdv=472µs
seq=55 rtt=9.58ms rd=-1h7m28s sd=1h7m28s ipdv=580µs
