Data plane is up
Running irtt
UE IP is 10.45.0.87
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.65ms rd=-14m14s sd=14m14s ipdv=n/a
seq=1 rtt=23.06ms rd=-15m12s sd=15m12s ipdv=589µs
seq=2 rtt=20.98ms rd=-16m9s sd=16m9s ipdv=2.08ms
seq=3 rtt=20.25ms rd=-17m8s sd=17m8s ipdv=725µs
seq=4 rtt=18.91ms rd=-18m5s sd=18m5s ipdv=1.35ms
seq=5 rtt=17.04ms rd=-19m2s sd=19m2s ipdv=1.87ms
seq=6 rtt=14.37ms rd=-19m59s sd=19m59s ipdv=2.67ms
seq=7 rtt=13.08ms rd=-20m56s sd=20m56s ipdv=1.29ms
seq=8 rtt=11.44ms rd=-21m53s sd=21m53s ipdv=1.64ms
seq=9 rtt=10.13ms rd=-22m50s sd=22m50s ipdv=1.31ms
seq=10 rtt=30.93ms rd=-23m49s sd=23m49s ipdv=20.8ms
seq=11 rtt=28.52ms rd=-24m46s sd=24m46s ipdv=2.41ms
seq=12 rtt=26.52ms rd=-25m43s sd=25m43s ipdv=2ms
seq=13 rtt=24.68ms rd=-26m40s sd=26m40s ipdv=1.84ms
seq=14 rtt=22.62ms rd=-27m37s sd=27m37s ipdv=2.06ms
seq=15 rtt=20.47ms rd=-28m34s sd=28m34s ipdv=2.16ms
seq=16 rtt=19.01ms rd=-29m31s sd=29m31s ipdv=1.46ms
seq=17 rtt=17.72ms rd=-30m28s sd=30m28s ipdv=1.29ms
seq=18 rtt=16.87ms rd=-31m27s sd=31m27s ipdv=849µs
seq=19 rtt=15.63ms rd=-32m25s sd=32m25s ipdv=1.24ms
seq=20 rtt=15.94ms rd=-33m23s sd=33m23s ipdv=307µs
seq=21 rtt=14.98ms rd=-34m21s sd=34m21s ipdv=959µs
seq=22 rtt=14.36ms rd=-35m20s sd=35m20s ipdv=616µs
seq=23 rtt=13.13ms rd=-36m18s sd=36m18s ipdv=1.23ms
seq=24 rtt=13.17ms rd=-37m17s sd=37m17s ipdv=36.6µs
seq=25 rtt=11.99ms rd=-38m15s sd=38m15s ipdv=1.18ms
seq=26 rtt=11.72ms rd=-39m13s sd=39m13s ipdv=264µs
seq=27 rtt=10.84ms rd=-40m11s sd=40m11s ipdv=889µs
seq=28 rtt=10.94ms rd=-41m10s sd=41m10s ipdv=104µs
seq=29 rtt=9.65ms rd=-42m8s sd=42m8s ipdv=1.29ms
seq=30 rtt=12.13ms rd=-43m8s sd=43m8s ipdv=2.48ms
seq=31 rtt=12.21ms rd=-44m6s sd=44m6s ipdv=74.8µs
seq=32 rtt=11.93ms rd=-45m5s sd=45m5s ipdv=272µs
seq=33 rtt=12.6ms rd=-46m4s sd=46m4s ipdv=662µs
seq=34 rtt=11.99ms rd=-47m3s sd=47m3s ipdv=612µs
seq=35 rtt=12.2ms rd=-48m2s sd=48m2s ipdv=211µs
seq=36 rtt=11.94ms rd=-49m0s sd=49m1s ipdv=257µs
seq=37 rtt=11.55ms rd=-49m59s sd=49m59s ipdv=393µs
seq=38 rtt=11.94ms rd=-50m58s sd=50m58s ipdv=390µs
seq=39 rtt=11.25ms rd=-51m57s sd=51m57s ipdv=690µs
seq=40 rtt=11.25ms rd=-52m56s sd=52m56s ipdv=2.41µs
seq=41 rtt=10.94ms rd=-53m54s sd=53m54s ipdv=309µs
seq=42 rtt=10.82ms rd=-54m53s sd=54m53s ipdv=119µs
seq=43 rtt=10.35ms rd=-55m52s sd=55m52s ipdv=471µs
seq=44 rtt=10.83ms rd=-56m51s sd=56m51s ipdv=478µs
seq=45 rtt=9.91ms rd=-57m49s sd=57m49s ipdv=923µs
seq=46 rtt=9.64ms rd=-58m48s sd=58m48s ipdv=265µs
seq=47 rtt=10.55ms rd=-59m47s sd=59m47s ipdv=908µs
seq=48 rtt=9.53ms rd=-1h0m45s sd=1h0m45s ipdv=1.02ms
seq=49 rtt=10.32ms rd=-1h1m44s sd=1h1m44s ipdv=788µs
seq=50 rtt=9.59ms rd=-1h2m43s sd=1h2m43s ipdv=723µs
seq=51 rtt=9.79ms rd=-1h3m42s sd=1h3m42s ipdv=199µs
seq=52 rtt=9.64ms rd=-1h4m40s sd=1h4m40s ipdv=155µs
seq=53 rtt=10.17ms rd=-1h5m39s sd=1h5m39s ipdv=533µs
seq=54 rtt=9.6ms rd=-1h6m38s sd=1h6m38s ipdv=572µs
