Data plane is up
Running irtt
UE IP is 10.45.0.15
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.59ms rd=-13m12s sd=13m12s ipdv=n/a
seq=1 rtt=22.85ms rd=-14m11s sd=14m11s ipdv=745µs
seq=2 rtt=22.12ms rd=-15m9s sd=15m9s ipdv=729µs
seq=3 rtt=20.88ms rd=-16m7s sd=16m7s ipdv=1.24ms
seq=4 rtt=20.64ms rd=-17m5s sd=17m5s ipdv=245µs
seq=5 rtt=18.06ms rd=-18m2s sd=18m2s ipdv=2.58ms
seq=6 rtt=16.62ms rd=-18m59s sd=18m59s ipdv=1.44ms
seq=7 rtt=14.96ms rd=-19m57s sd=19m57s ipdv=1.67ms
seq=8 rtt=13.31ms rd=-20m53s sd=20m53s ipdv=1.64ms
seq=9 rtt=10.8ms rd=-21m50s sd=21m50s ipdv=2.51ms
seq=10 rtt=9.74ms rd=-22m47s sd=22m47s ipdv=1.06ms
seq=11 rtt=30.24ms rd=-23m46s sd=23m46s ipdv=20.5ms
seq=12 rtt=28.84ms rd=-24m44s sd=24m44s ipdv=1.4ms
seq=13 rtt=26.74ms rd=-25m40s sd=25m40s ipdv=2.09ms
seq=14 rtt=24.67ms rd=-26m38s sd=26m38s ipdv=2.07ms
seq=15 rtt=22.5ms rd=-27m34s sd=27m34s ipdv=2.18ms
seq=16 rtt=20.94ms rd=-28m31s sd=28m31s ipdv=1.56ms
seq=17 rtt=17.8ms rd=-29m28s sd=29m28s ipdv=3.13ms
seq=18 rtt=17.8ms rd=-30m26s sd=30m26s ipdv=2.17µs
seq=19 rtt=16.56ms rd=-31m24s sd=31m24s ipdv=1.24ms
seq=20 rtt=15.37ms rd=-32m22s sd=32m22s ipdv=1.2ms
seq=21 rtt=15.13ms rd=-33m20s sd=33m20s ipdv=237µs
seq=22 rtt=14.4ms rd=-34m19s sd=34m19s ipdv=734µs
seq=23 rtt=14.23ms rd=-35m17s sd=35m17s ipdv=165µs
seq=24 rtt=13.18ms rd=-36m16s sd=36m16s ipdv=1.05ms
seq=25 rtt=13.23ms rd=-37m14s sd=37m14s ipdv=49.5µs
seq=26 rtt=12.34ms rd=-38m12s sd=38m12s ipdv=891µs
seq=27 rtt=11.94ms rd=-39m10s sd=39m10s ipdv=396µs
seq=28 rtt=11.29ms rd=-40m9s sd=40m9s ipdv=649µs
seq=29 rtt=10.09ms rd=-41m7s sd=41m7s ipdv=1.2ms
seq=30 rtt=9.89ms rd=-42m5s sd=42m6s ipdv=204µs
seq=31 rtt=9.79ms rd=-43m4s sd=43m4s ipdv=97.5µs
seq=32 rtt=9.84ms rd=-44m3s sd=44m3s ipdv=47.4µs
seq=33 rtt=9.69ms rd=-45m2s sd=45m2s ipdv=146µs
seq=34 rtt=9.89ms rd=-46m1s sd=46m1s ipdv=203µs
seq=35 rtt=9.69ms rd=-47m0s sd=47m0s ipdv=202µs
seq=36 rtt=9.86ms rd=-47m59s sd=47m59s ipdv=165µs
seq=37 rtt=10.56ms rd=-48m57s sd=48m57s ipdv=700µs
seq=38 rtt=9.54ms rd=-49m56s sd=49m56s ipdv=1.01ms
seq=39 rtt=10.46ms rd=-50m55s sd=50m55s ipdv=920µs
seq=40 rtt=9.65ms rd=-51m54s sd=51m54s ipdv=819µs
seq=41 rtt=10.17ms rd=-52m52s sd=52m52s ipdv=524µs
seq=42 rtt=9.9ms rd=-53m52s sd=53m52s ipdv=268µs
seq=43 rtt=9.67ms rd=-54m50s sd=54m50s ipdv=236µs
seq=44 rtt=9.65ms rd=-55m49s sd=55m49s ipdv=13.8µs
seq=45 rtt=9.6ms rd=-56m48s sd=56m48s ipdv=49.6µs
seq=46 rtt=9.54ms rd=-57m46s sd=57m46s ipdv=66.6µs
seq=47 rtt=30.05ms rd=-58m48s sd=58m48s ipdv=20.52ms
seq=48 rtt=31.15ms rd=-59m46s sd=59m46s ipdv=1.1ms
seq=49 rtt=30.26ms rd=-1h0m45s sd=1h0m45s ipdv=891µs
seq=50 rtt=30.07ms rd=-1h1m43s sd=1h1m43s ipdv=189µs
seq=51 rtt=30.8ms rd=-1h2m42s sd=1h2m42s ipdv=733µs
seq=52 rtt=30.46ms rd=-1h3m41s sd=1h3m41s ipdv=339µs
seq=53 rtt=30.48ms rd=-1h4m40s sd=1h4m40s ipdv=13.8µs
seq=54 rtt=29.51ms rd=-1h5m38s sd=1h5m38s ipdv=964µs
seq=55 rtt=29.63ms rd=-1h6m37s sd=1h6m37s ipdv=118µs
seq=56 rtt=29.58ms rd=-1h7m36s sd=1h7m36s ipdv=47.8µs
