Data plane is up
Running irtt
UE IP is 10.45.0.67
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=23.68ms rd=-13m33s sd=13m33s ipdv=n/a
seq=1 rtt=22.58ms rd=-14m32s sd=14m32s ipdv=1.1ms
seq=2 rtt=21.41ms rd=-15m29s sd=15m29s ipdv=1.17ms
seq=3 rtt=20.38ms rd=-16m27s sd=16m27s ipdv=1.03ms
seq=4 rtt=18.62ms rd=-17m25s sd=17m25s ipdv=1.76ms
seq=5 rtt=17.19ms rd=-18m22s sd=18m22s ipdv=1.44ms
seq=6 rtt=15.92ms rd=-19m19s sd=19m19s ipdv=1.26ms
seq=7 rtt=14.04ms rd=-20m16s sd=20m16s ipdv=1.88ms
seq=8 rtt=11.79ms rd=-21m13s sd=21m13s ipdv=2.25ms
seq=9 rtt=9.89ms rd=-22m10s sd=22m10s ipdv=1.9ms
seq=10 rtt=30.92ms rd=-23m10s sd=23m10s ipdv=21.03ms
seq=11 rtt=28.52ms rd=-24m6s sd=24m6s ipdv=2.41ms
seq=12 rtt=26.76ms rd=-25m3s sd=25m3s ipdv=1.76ms
seq=13 rtt=24.84ms rd=-26m0s sd=26m0s ipdv=1.92ms
seq=14 rtt=22.7ms rd=-26m57s sd=26m57s ipdv=2.14ms
seq=15 rtt=20.38ms rd=-27m54s sd=27m54s ipdv=2.31ms
seq=16 rtt=18.79ms rd=-28m51s sd=28m51s ipdv=1.6ms
seq=17 rtt=16.63ms rd=-29m48s sd=29m48s ipdv=2.16ms
seq=18 rtt=15.68ms rd=-30m46s sd=30m46s ipdv=944µs
seq=19 rtt=14.97ms rd=-31m44s sd=31m44s ipdv=706µs
seq=20 rtt=14.89ms rd=-32m43s sd=32m43s ipdv=86.1µs
seq=21 rtt=13.89ms rd=-33m41s sd=33m41s ipdv=996µs
seq=22 rtt=12.71ms rd=-34m39s sd=34m39s ipdv=1.18ms
seq=23 rtt=11.95ms rd=-35m37s sd=35m37s ipdv=761µs
seq=24 rtt=12.2ms rd=-36m36s sd=36m36s ipdv=248µs
seq=25 rtt=11.33ms rd=-37m34s sd=37m34s ipdv=869µs
seq=26 rtt=11.11ms rd=-38m33s sd=38m33s ipdv=216µs
seq=27 rtt=10.79ms rd=-39m31s sd=39m31s ipdv=320µs
seq=28 rtt=10.28ms rd=-40m29s sd=40m29s ipdv=509µs
seq=29 rtt=9.68ms rd=-41m27s sd=41m27s ipdv=606µs
seq=30 rtt=9.75ms rd=-42m26s sd=42m26s ipdv=70.3µs
seq=31 rtt=9.53ms rd=-43m25s sd=43m25s ipdv=215µs
seq=32 rtt=9.8ms rd=-44m24s sd=44m24s ipdv=265µs
seq=33 rtt=9.53ms rd=-45m23s sd=45m23s ipdv=265µs
seq=34 rtt=31.11ms rd=-46m24s sd=46m24s ipdv=21.58ms
seq=35 rtt=9.51ms rd=-47m20s sd=47m20s ipdv=21.6ms
seq=36 rtt=9.8ms rd=-48m19s sd=48m19s ipdv=290µs
seq=37 rtt=9.43ms rd=-49m18s sd=49m18s ipdv=375µs
seq=38 rtt=30.11ms rd=-50m19s sd=50m19s ipdv=20.68ms
seq=39 rtt=9.44ms rd=-51m16s sd=51m16s ipdv=20.67ms
seq=40 rtt=30.09ms rd=-52m17s sd=52m17s ipdv=20.65ms
seq=41 rtt=31.28ms rd=-53m16s sd=53m16s ipdv=1.19ms
seq=42 rtt=30.53ms rd=-54m15s sd=54m15s ipdv=750µs
seq=43 rtt=30.12ms rd=-55m13s sd=55m13s ipdv=407µs
seq=44 rtt=30.28ms rd=-56m12s sd=56m12s ipdv=159µs
seq=45 rtt=30.29ms rd=-57m11s sd=57m11s ipdv=9.04µs
seq=46 rtt=30.19ms rd=-58m9s sd=58m10s ipdv=103µs
seq=47 rtt=29.63ms rd=-59m8s sd=59m8s ipdv=560µs
seq=48 rtt=29.48ms rd=-1h0m7s sd=1h0m7s ipdv=151µs
seq=49 rtt=28.42ms rd=-1h1m5s sd=1h1m5s ipdv=1.05ms
seq=50 rtt=28.69ms rd=-1h2m4s sd=1h2m4s ipdv=266µs
seq=51 rtt=28.53ms rd=-1h3m3s sd=1h3m3s ipdv=156µs
seq=52 rtt=28.29ms rd=-1h4m2s sd=1h4m2s ipdv=240µs
seq=53 rtt=28.54ms rd=-1h5m0s sd=1h5m0s ipdv=247µs
seq=54 rtt=27.63ms rd=-1h5m59s sd=1h5m59s ipdv=916µs
seq=55 rtt=27.42ms rd=-1h6m58s sd=1h6m58s ipdv=201µs
