minute,x2ap,s1ap,rrc
0,3,2,7
1,0,0,0
2,0,0,0
3,0,0,0
4,3,2,7
5,0,0,0
6,3,2,7
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,3,2,7
