minute,x2ap,s1ap,rrc
0,3,2,7
1,3,2,7
2,3,2,7
3,6,4,14
4,6,4,14
5,0,0,0
6,0,0,0
7,3,2,7
8,6,4,14
9,6,4,14
10,3,2,7
11,9,6,21
12,6,4,14
13,3,2,7
14,2,2,6
