#,Message,"# Slot 
 Testbed","# Slot 
 Chronos","# Slot 
 NS3",Direction
1,"Msg1: 
 PRACH Preamble",0,0,0,UE→gNB
2,"Msg2: 
 Random Access Response",7,7,8,gNB→UE
3,"Msg3: 
 RRC Connection Request",16,17,15,UE→gNB
4,"Msg4: 
 Contention Resolution",26,26,Skipped,gNB→UE
