minute,x2ap,s1ap,rrc
2,3,2,7
3,9,6,21
4,3,2,7
5,3,2,7
6,3,2,7
7,6,4,14
8,0,0,0
9,6,4,14
10,6,4,14
11,6,4,14
12,3,2,7
13,9,6,21
14,6,4,14
