hecking tx_Data_request for 793365 times 
[44.0] Checking tx_Data_request for 793499 times 
[44.0] Checking tx_Data_request for 793500 times 
[44.0] Checking tx_Data_request for 793501 times 
[44.0] Checking tx_Data_request for 793502 times 
[44.0] Checking tx_Data_request for 793503 times 
[44.0] Checking tx_Data_request for 793504 times 
[44.0] Checking tx_Data_request for 793505 times 
[44.0] Checking tx_Data_request for 793506 times 
[44.0] Checking tx_Data_request for 793507 times 
[44.0] Checking tx_Data_request for 793508 times 
[44.0] Checking tx_Data_request for 793509 times 
[44.0] Checking tx_Data_request for 793510 times 
[44.0] Checking tx_Data_request for 793511 times 
[44.0] Checking tx_Data_request for 793512 times 
[44.0] Checking tx_Data_request for 793513 times 
[44.0] Checking tx_Data_request for 793514 times 
[44.0] Checking tx_Data_request for 793515 times 
[44.0] Checking tx_Data_request for 793516 times 
[44.0] Checking tx_Data_request for 793517 times 
[44.0] Checking tx_Data_request for 793518 times 
[44.0] Checking tx_Data_request for 793519 times 
[44.0] Checking tx_Data_request for 793520 times 
[44.0] Checking tx_Data_request for 793521 times 
[44.0] Checking tx_Data_request for 793522 times 
[44.0] Checking tx_Data_request for 793523 times 
[44.0] Checking tx_Data_request for 793524 times 
[44.0] Checking tx_Data_request for 793525 times 
[44.0] Checking tx_Data_request for 793526 times 
[44.0] Checking tx_Data_request for 793527 times 
[44.0] Checking tx_Data_request for 793528 times 
[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0m[1;31m[PHY]   put_queue: queue is full
[0m[1;31m[NR_PHY]   put_queue failed for sfn slot.
[0m[44.0] Checking tx_Data_request for 793529 times 
[44.0] Checking tx_Data_request for 793530 times 
[44.0] Checking tx_Data_request for 793531 times 
[44.0] Checking tx_Data_request for 793532 times 
[44.0] Checking tx_Data_request for 793533 times 
[44.0] Checking tx_Data_request for 793534 times 
[44.0] Checking tx_Data_request for 793535 times 
[44.0] Checking tx_Data_request for 793536 times 
[44.0] Checking tx_Data_request for 793537 times 
[44.0] Checking tx_Data_request for 793538 times 
[44.0] Checking tx_Data_request for 793539 times 
[44.0] Checking tx_Data_request for 793540 times 
[44.0] Checking tx_Data_request for 793541 times 
[44.0] Checking tx_Data_request for 793542 times 
[44.0] Checking tx_Data_request for 793543 times 
[44.0] Checking tx_Data_request for 793544 times 
[44.0] Checking tx_Data_request for 793545 times 
[44.0] Checking tx_Data_request for 793546 times 
[44.0] Checking tx_Data_request for 793547 times 
[44.0] Checking tx_Data_request for 793548 times 
[44.0] Checking tx_Data_request for 793549 times 
[44.0] Checking tx_Data_request for 793550 times 
[44.0] Checking tx_Data_request for 793551 times 
[44.0] Checking tx_Data_request for 793552 times 
[44.0] Checking tx_Data_request for 793553 times 
[44.0] Checking tx_Data_request for 793554 times 
[44.0] Checking tx_Data_request for 793555 times 
[44.0] Checking tx_Data_request for 793556 times 
