minute,x2ap,s1ap,rrc
0,3,2,7
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,3,2,7
6,0,0,0
7,3,2,7
8,3,2,7
9,0,0,0
10,0,0,0
11,3,2,7
12,0,0,0
13,0,0,0
14,3,2,7
