Data plane is up
Running irtt
UE IP is 10.45.0.12
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=671.2ms rd=12.55ms sd=658.6ms ipdv=n/a
seq=1 rtt=471.1ms rd=12.58ms sd=458.5ms ipdv=200.1ms
seq=2 rtt=270.7ms rd=12.56ms sd=258.1ms ipdv=200.4ms
seq=3 rtt=75.25ms rd=10.14ms sd=65.11ms ipdv=195.5ms
seq=4 rtt=88.7ms rd=14.92ms sd=73.78ms ipdv=13.45ms
seq=5 rtt=117.4ms rd=10.54ms sd=106.9ms ipdv=28.75ms
seq=6 rtt=129.9ms rd=16.43ms sd=113.5ms ipdv=12.45ms
seq=7 rtt=136.6ms rd=13.85ms sd=122.8ms ipdv=6.7ms
seq=8 rtt=149.5ms rd=20.44ms sd=129ms ipdv=12.85ms
seq=9 rtt=157.1ms rd=15.89ms sd=141.2ms ipdv=7.65ms
seq=10 rtt=68.7ms rd=21.17ms sd=47.52ms ipdv=88.4ms
seq=11 rtt=103.8ms rd=17.86ms sd=85.94ms ipdv=35.1ms
seq=12 rtt=138.1ms rd=26.36ms sd=111.7ms ipdv=34.3ms
seq=13 rtt=154.2ms rd=36.22ms sd=117.9ms ipdv=16.05ms
seq=14 rtt=164.5ms rd=34.9ms sd=129.6ms ipdv=10.35ms
seq=15 rtt=58.65ms rd=17.03ms sd=41.62ms ipdv=105.9ms
seq=16 rtt=70.7ms rd=11.4ms sd=59.3ms ipdv=12.05ms
seq=17 rtt=88.45ms rd=14.43ms sd=74.02ms ipdv=17.75ms
seq=18 rtt=95.9ms rd=12.98ms sd=82.92ms ipdv=7.45ms
seq=19 rtt=118.1ms rd=15.57ms sd=102.5ms ipdv=22.2ms
seq=20 rtt=119.8ms rd=12.92ms sd=106.9ms ipdv=1.7ms
seq=21 rtt=130.7ms rd=17.01ms sd=113.6ms ipdv=10.85ms
seq=22 rtt=157.4ms rd=17.9ms sd=139.5ms ipdv=26.7ms
seq=23 rtt=67.2ms rd=21.83ms sd=45.37ms ipdv=90.15ms
seq=24 rtt=77.8ms rd=31.07ms sd=46.73ms ipdv=10.6ms
seq=25 rtt=105.4ms rd=36.19ms sd=69.26ms ipdv=27.65ms
seq=26 rtt=127.1ms rd=37.27ms sd=89.78ms ipdv=21.6ms
seq=27 rtt=142.7ms rd=27.24ms sd=115.4ms ipdv=15.6ms
seq=28 rtt=481ms rd=17.41ms sd=463.5ms ipdv=338.3ms
seq=29 rtt=280.7ms rd=17.36ms sd=263.3ms ipdv=200.3ms
seq=30 rtt=87.45ms rd=17.09ms sd=70.35ms ipdv=193.2ms
seq=31 rtt=118ms rd=16.14ms sd=101.9ms ipdv=30.55ms
seq=32 rtt=132.2ms rd=11.36ms sd=120.9ms ipdv=14.25ms
seq=33 rtt=149.7ms rd=15.77ms sd=134ms ipdv=17.5ms
seq=34 rtt=161ms rd=16.74ms sd=144.3ms ipdv=11.3ms
seq=35 rtt=89ms rd=33.56ms sd=55.43ms ipdv=72.05ms
seq=36 rtt=131.3ms rd=35.17ms sd=96.13ms ipdv=42.3ms
seq=37 rtt=171.1ms rd=40.63ms sd=130.4ms ipdv=39.75ms
seq=38 rtt=72.55ms rd=18.96ms sd=53.59ms ipdv=98.5ms
seq=39 rtt=114ms rd=15.59ms sd=98.46ms ipdv=41.5ms
seq=40 rtt=149ms rd=16.27ms sd=132.8ms ipdv=35ms
seq=41 rtt=78.2ms rd=32.14ms sd=46.06ms ipdv=70.85ms
seq=42 rtt=105.8ms rd=28.29ms sd=77.56ms ipdv=27.65ms
seq=43 rtt=157.6ms rd=31.79ms sd=125.8ms ipdv=51.75ms
seq=44 rtt=71.15ms rd=13.72ms sd=57.43ms ipdv=86.45ms
seq=45 rtt=144.3ms rd=18.43ms sd=125.9ms ipdv=73.15ms
seq=46 rtt=84.9ms rd=36.02ms sd=48.88ms ipdv=59.4ms
seq=47 rtt=151.2ms rd=27.44ms sd=123.8ms ipdv=66.35ms
seq=48 rtt=69.05ms rd=19.3ms sd=49.75ms ipdv=82.2ms
seq=49 rtt=119.4ms rd=16.95ms sd=102.5ms ipdv=50.4ms
seq=50 rtt=176.9ms rd=16.45ms sd=160.4ms ipdv=57.4ms
seq=51 rtt=137.6ms rd=21.91ms sd=115.6ms ipdv=39.25ms
seq=52 rtt=68.65ms rd=21.1ms sd=47.54ms ipdv=68.95ms
seq=53 rtt=144.3ms rd=17.65ms sd=126.6ms ipdv=75.65ms
seq=54 rtt=106.4ms rd=56.14ms sd=50.21ms ipdv=37.95ms
seq=55 rtt=177ms rd=41.25ms sd=135.8ms ipdv=70.65ms
seq=56 rtt=102.3ms rd=22.31ms sd=80.03ms ipdv=74.65ms
seq=57 rtt=175ms rd=16.57ms sd=158.4ms ipdv=72.65ms
seq=58 rtt=121.5ms rd=38.28ms sd=83.22ms ipdv=53.5ms
seq=59 rtt=193.5ms rd=35.8ms sd=157.7ms ipdv=71.95ms
seq=60 rtt=113.7ms rd=15.86ms sd=97.89ms ipdv=79.7ms
seq=61 rtt=160ms rd=14.47ms sd=145.5ms ipdv=46.2ms
seq=62 rtt=82.35ms rd=24.67ms sd=57.68ms ipdv=77.6ms
seq=63 rtt=126.8ms rd=26.21ms sd=100.6ms ipdv=44.5ms
seq=64 rtt=160.8ms rd=26.78ms sd=134ms ipdv=33.9ms
seq=65 rtt=73.45ms rd=13.14ms sd=60.31ms ipdv=87.3ms
seq=66 rtt=120.3ms rd=10.43ms sd=109.9ms ipdv=46.85ms
seq=67 rtt=150.8ms rd=19.53ms sd=131.3ms ipdv=30.5ms
seq=68 rtt=89.9ms rd=29.11ms sd=60.79ms ipdv=60.9ms
seq=69 rtt=139.7ms rd=24.71ms sd=115ms ipdv=49.8ms
seq=70 rtt=181.3ms rd=27.1ms sd=154.1ms ipdv=41.55ms
seq=71 rtt=600ms rd=13.39ms sd=586.6ms ipdv=418.8ms
seq=72 rtt=399.8ms rd=13.4ms sd=386.4ms ipdv=200.2ms
seq=73 rtt=199.4ms rd=13.38ms sd=186ms ipdv=200.4ms
seq=74 rtt=106.2ms rd=22.56ms sd=83.64ms ipdv=93.2ms
seq=75 rtt=162.3ms rd=28.64ms sd=133.7ms ipdv=56.1ms
seq=76 rtt=63.45ms rd=14.37ms sd=49.08ms ipdv=98.85ms
seq=77 rtt=93.8ms rd=15.98ms sd=77.82ms ipdv=30.35ms
seq=78 rtt=125ms rd=18.97ms sd=106ms ipdv=31.15ms
seq=79 rtt=139.7ms rd=15.34ms sd=124.3ms ipdv=14.7ms
seq=80 rtt=158ms rd=15.3ms sd=142.7ms ipdv=18.35ms
seq=81 rtt=81.85ms rd=34.17ms sd=47.68ms ipdv=76.15ms
seq=82 rtt=131.4ms rd=21.94ms sd=109.5ms ipdv=49.6ms
seq=83 rtt=165.5ms rd=37.11ms sd=128.4ms ipdv=34.05ms
seq=84 rtt=60.85ms rd=17.55ms sd=43.3ms ipdv=104.7ms
seq=85 rtt=319.7ms rd=13.59ms sd=306.1ms ipdv=258.9ms
seq=86 rtt=128.4ms rd=15.37ms sd=113.1ms ipdv=191.3ms
seq=87 rtt=196.1ms rd=26.29ms sd=169.8ms ipdv=67.6ms
seq=88 rtt=119.3ms rd=19.43ms sd=99.87ms ipdv=76.75ms
seq=89 rtt=160.8ms rd=25.31ms sd=135.5ms ipdv=41.55ms
seq=90 rtt=70.5ms rd=15.42ms sd=55.08ms ipdv=90.35ms
seq=91 rtt=103.3ms rd=16.05ms sd=87.25ms ipdv=32.8ms
seq=92 rtt=131.2ms rd=14.31ms sd=116.9ms ipdv=27.9ms
seq=93 rtt=160.1ms rd=16.84ms sd=143.3ms ipdv=28.95ms
seq=94 rtt=84.5ms rd=23.86ms sd=60.64ms ipdv=75.65ms
seq=95 rtt=123.2ms rd=23.09ms sd=100.1ms ipdv=38.7ms
seq=96 rtt=147.3ms rd=32.81ms sd=114.5ms ipdv=24.1ms
seq=97 rtt=161.8ms rd=37.53ms sd=124.2ms ipdv=14.45ms
seq=98 rtt=178.6ms rd=37.09ms sd=141.6ms ipdv=16.9ms
seq=99 rtt=80.3ms rd=21.05ms sd=59.25ms ipdv=98.35ms
seq=100 rtt=730.6ms rd=12.33ms sd=718.3ms ipdv=650.3ms
seq=101 rtt=530.2ms rd=12.3ms sd=517.9ms ipdv=200.4ms
seq=102 rtt=329.9ms rd=12.34ms sd=317.6ms ipdv=200.3ms
seq=103 rtt=235.3ms rd=21.39ms sd=213.9ms ipdv=94.65ms
seq=104 rtt=141.7ms rd=14.67ms sd=127ms ipdv=93.55ms
seq=105 rtt=147.7ms rd=9.66ms sd=138.1ms ipdv=6.05ms
seq=106 rtt=70.85ms rd=23.06ms sd=47.79ms ipdv=76.9ms
seq=107 rtt=118.3ms rd=23.74ms sd=94.61ms ipdv=47.5ms
seq=108 rtt=143.9ms rd=22.64ms sd=121.2ms ipdv=25.5ms
seq=109 rtt=166.2ms rd=30.79ms sd=135.5ms ipdv=22.4ms
seq=110 rtt=463.9ms rd=11.47ms sd=452.4ms ipdv=297.7ms
seq=111 rtt=264.5ms rd=11.51ms sd=253ms ipdv=199.4ms
seq=112 rtt=76.1ms rd=16.75ms sd=59.34ms ipdv=188.4ms
seq=113 rtt=77.35ms rd=17.09ms sd=60.26ms ipdv=1.25ms
seq=114 rtt=72.55ms rd=11.19ms sd=61.36ms ipdv=4.8ms
seq=115 rtt=117.2ms rd=17.78ms sd=99.42ms ipdv=44.65ms
seq=116 rtt=149.9ms rd=13.17ms sd=136.8ms ipdv=32.75ms
seq=117 rtt=60.4ms rd=9.57ms sd=50.83ms ipdv=89.55ms
seq=118 rtt=78.75ms rd=29.47ms sd=49.28ms ipdv=18.35ms
seq=119 rtt=105.8ms rd=27.93ms sd=77.87ms ipdv=27.05ms
seq=120 rtt=136.5ms rd=33ms sd=103.4ms ipdv=30.65ms
seq=121 rtt=157.3ms rd=36.2ms sd=121.1ms ipdv=20.85ms
seq=122 rtt=164.9ms rd=31.3ms sd=133.6ms ipdv=7.65ms
seq=123 rtt=57.55ms rd=14.63ms sd=42.92ms ipdv=107.4ms
seq=124 rtt=109.2ms rd=19.03ms sd=90.17ms ipdv=51.65ms
seq=125 rtt=144.5ms rd=18.88ms sd=125.6ms ipdv=35.3ms
seq=126 rtt=171.8ms rd=18.27ms sd=153.5ms ipdv=27.3ms
seq=127 rtt=86.3ms rd=23.85ms sd=62.45ms ipdv=85.5ms
seq=128 rtt=123.1ms rd=25.65ms sd=97.44ms ipdv=36.8ms
seq=129 rtt=142ms rd=24.01ms sd=117.9ms ipdv=18.85ms
seq=130 rtt=158.8ms rd=31.74ms sd=127ms ipdv=16.85ms
seq=131 rtt=50.65ms rd=10.08ms sd=40.56ms ipdv=108.2ms
