NAME     READY   STATUS             RESTARTS      AGE     IP                NODE      NOMINATED NODE   READINESS GATES
gnb-76   1/1     Running            0             4m54s   10.2.9.2          ins8vm    <none>           <none>
gnb-77   1/1     Running            0             4m54s   10.2.10.2         ins9vm    <none>           <none>
gnb-78   1/1     Running            0             4m54s   10.2.11.2         ins10vm   <none>           <none>
gnb-79   1/1     Running            0             4m54s   10.2.12.2         ins11vm   <none>           <none>
gnb-8    1/1     Running            0             4m54s   10.2.10.2         ins9vm    <none>           <none>
gnb-80   1/1     Running            0             4m54s   10.2.13.2         ins12vm   <none>           <none>
gnb-81   1/1     Running            0             4m54s   10.2.15.2         ins14vm   <none>           <none>
gnb-82   1/1     Running            0             4m54s   10.2.16.2         ins15vm   <none>           <none>
gnb-83   1/1     Running            0             4m54s   10.2.17.2         ins16vm   <none>           <none>
gnb-84   1/1     Running            0             4m54s   10.2.18.2         ins17vm   <none>           <none>
gnb-85   1/1     Running            0             4m54s   10.2.19.2         ins18vm   <none>           <none>
gnb-86   1/1     Running            0             4m54s   10.2.20.2         ins19vm   <none>           <none>
gnb-87   1/1     Running            0             4m54s   10.2.21.2         ins20vm   <none>           <none>
gnb-88   1/1     Running            0             4m54s   10.2.22.2         ins21vm   <none>           <none>
gnb-89   1/1     Running            0             4m54s   10.2.23.2         ins22vm   <none>           <none>
gnb-9    1/1     Running            0             4m54s   10.2.11.2         ins10vm   <none>           <none>
gnb-90   1/1     Running            0             4m54s   10.2.24.2         ins23vm   <none>           <none>
gnb-91   1/1     Running            0             4m54s   10.2.25.2         ins24vm   <none>           <none>
gnb-92   1/1     Running            0             4m54s   10.2.26.2         ins25vm   <none>           <none>
gnb-93   1/1     Running            0             4m54s   10.2.27.2         ins26vm   <none>           <none>
gnb-94   1/1     Running            0             4m54s   10.2.28.2         ins27vm   <none>           <none>
gnb-95   1/1     Running            0             4m54s   10.2.29.2         ins28vm   <none>           <none>
gnb-96   1/1     Running            0             4m54s   10.2.30.2         ins29vm   <none>           <none>
gnb-97   1/1     Running            0             4m54s   10.2.31.2         ins30vm   <none>           <none>
gnb-98   1/1     Running            0             4m54s   10.2.32.2         ins31vm   <none>           <none>
gnb-99   1/1     Running            0             4m54s   10.2.33.2         ins32vm   <none>           <none>
ue-0     1/2     CrashLoopBackOff   3 (35s ago)   4m56s   10.244.4.10       ins34vm   <none>           <none>
ue-1     1/2     CrashLoopBackOff   3 (19s ago)   4m56s   10.244.63.7       ins17vm   <none>           <none>
ue-10    1/2     CrashLoopBackOff   3 (27s ago)   4m56s   10.244.59.10      ins18vm   <none>           <none>
ue-11    2/2     Running            1 (83s ago)   4m56s   10.244.47.9       ins33vm   <none>           <none>
ue-12    1/2     CrashLoopBackOff   3 (31s ago)   4m56s   10.244.88.8       ins65vm   <none>           <none>
ue-13    2/2     Running            0             4m56s   10.244.28.9       ins36vm   <none>           <none>
ue-14    1/2     CrashLoopBackOff   3 (28s ago)   4m56s   10.244.12.7       ins10vm   <none>           <none>
ue-15    2/2     Running            0             4m56s   10.244.85.8       ins27vm   <none>           <none>
ue-16    2/2     Running            1 (83s ago)   4m56s   10.244.72.8       ins19vm   <none>           <none>
ue-17    2/2     Running            0             4m56s   10.244.64.12      ins15vm   <none>           <none>
ue-18    1/2     CrashLoopBackOff   3 (24s ago)   4m56s   10.244.67.8       ins26vm   <none>           <none>
ue-19    1/2     CrashLoopBackOff   3 (29s ago)   4m56s   10.244.100.6      ins23vm   <none>           <none>
ue-2     2/2     Running            1 (84s ago)   4m56s   10.244.80.8       ins4vm    <none>           <none>
ue-20    1/2     CrashLoopBackOff   3 (33s ago)   4m56s   10.244.45.9       ins6vm    <none>           <none>
ue-21    1/2     CrashLoopBackOff   3 (30s ago)   4m56s   10.244.17.9       ins45vm   <none>           <none>
ue-22    2/2     Running            1 (84s ago)   4m56s   10.244.13.6       ins61vm   <none>           <none>
ue-23    2/2     Running            1 (83s ago)   4m56s   10.244.81.9       ins14vm   <none>           <none>
ue-24    1/2     CrashLoopBackOff   3 (30s ago)   4m56s   10.244.86.10      ins16vm   <none>           <none>
ue-25    1/2     CrashLoopBackOff   3 (26s ago)   4m56s   10.244.101.9      ins35vm   <none>           <none>
ue-26    1/2     CrashLoopBackOff   3 (31s ago)   4m56s   10.244.53.11      ins53vm   <none>           <none>
ue-27    2/2     Running            1 (83s ago)   4m56s   10.244.8.11       ins2vm    <none>           <none>
ue-28    2/2     Running            0             4m56s   10.244.96.10      ins22vm   <none>           <none>
