minute,x2ap,s1ap,rrc
0,6,4,14
1,3,2,7
2,9,6,21
3,9,6,21
4,6,4,14
5,3,2,7
6,12,8,28
7,6,4,14
8,3,2,7
9,12,8,28
10,6,4,14
11,6,4,14
12,6,4,14
13,3,2,7
