minute,x2ap,s1ap,rrc
0,9,6,21
1,9,6,21
2,9,6,21
3,6,4,14
4,3,2,7
5,6,4,14
6,9,6,21
7,6,4,14
8,6,4,14
9,3,2,7
10,0,0,0
11,3,2,7
12,9,6,21
13,12,8,28
14,3,2,7
