run,n_gnb,n_ue_target,n_ue_attached,mean_dilation,sd_dilation,n_samples
4g_lte,1,100,100,1.382,0.020,31
4g_lte,2,200,200,2.399,0.084,40
4g_lte,3,300,300,3.858,0.191,25
