minute,x2ap,s1ap,rrc
0,6,4,14
1,3,2,7
2,3,2,7
3,9,6,21
4,6,4,14
5,3,2,7
6,12,8,28
7,0,0,0
8,6,4,14
9,3,2,7
10,12,8,28
11,3,2,7
12,3,2,7
13,3,2,7
14,6,4,14
