minute,x2ap,s1ap,rrc
2,6,4,14
3,6,4,14
4,6,4,14
5,6,4,14
6,3,2,7
7,3,2,7
8,3,2,7
9,3,2,7
10,12,8,28
11,3,2,7
12,3,2,7
