minute,x2ap,s1ap,rrc
1,3,2,7
2,0,0,0
3,0,0,0
4,3,2,7
5,0,0,0
6,0,0,0
7,3,2,7
8,0,0,0
9,3,2,7
10,3,2,7
11,0,0,0
12,0,0,0
13,3,2,7
