NAME     READY   STATUS             RESTARTS        AGE   IP                NODE      NOMINATED NODE   READINESS GATES
ue-32    1/2     CrashLoopBackOff   7 (4m49s ago)   18m   10.244.1.37       ins1vm    <none>           <none>
ue-33    2/2     Running            0               18m   10.244.1.25       ins1vm    <none>           <none>
ue-34    1/2     CrashLoopBackOff   7 (4m27s ago)   18m   10.244.1.36       ins1vm    <none>           <none>
ue-35    1/2     CrashLoopBackOff   7 (4m41s ago)   18m   10.244.1.41       ins1vm    <none>           <none>
ue-36    2/2     Running            0               18m   10.244.1.39       ins1vm    <none>           <none>
ue-37    1/2     CrashLoopBackOff   7 (4m24s ago)   18m   10.244.1.30       ins1vm    <none>           <none>
ue-38    1/2     CrashLoopBackOff   7 (4m45s ago)   18m   10.244.1.29       ins1vm    <none>           <none>
ue-39    2/2     Running            0               18m   10.244.1.38       ins1vm    <none>           <none>
ue-4     2/2     Running            0               18m   10.244.1.249      ins1vm    <none>           <none>
ue-40    2/2     Running            1 (15m ago)     18m   10.244.1.33       ins1vm    <none>           <none>
ue-41    2/2     Running            0               18m   10.244.1.26       ins1vm    <none>           <none>
ue-42    2/2     Running            1 (15m ago)     18m   10.244.1.34       ins1vm    <none>           <none>
ue-43    2/2     Running            0               18m   10.244.1.42       ins1vm    <none>           <none>
ue-44    2/2     Running            0               18m   10.244.1.40       ins1vm    <none>           <none>
ue-45    1/2     CrashLoopBackOff   7 (4m32s ago)   18m   10.244.1.28       ins1vm    <none>           <none>
ue-46    1/2     CrashLoopBackOff   7 (4m22s ago)   18m   10.244.1.27       ins1vm    <none>           <none>
ue-47    1/2     CrashLoopBackOff   7 (4m34s ago)   18m   10.244.1.32       ins1vm    <none>           <none>
ue-48    2/2     Running            0               18m   10.244.1.35       ins1vm    <none>           <none>
ue-49    2/2     Running            0               18m   10.244.1.24       ins1vm    <none>           <none>
ue-5     2/2     Running            1 (15m ago)     18m   10.244.1.251      ins1vm    <none>           <none>
ue-6     2/2     Running            1 (15m ago)     18m   10.244.1.252      ins1vm    <none>           <none>
ue-7     2/2     Running            0               18m   10.244.1.4        ins1vm    <none>           <none>
ue-8     2/2     Running            1 (15m ago)     18m   10.244.1.6        ins1vm    <none>           <none>
ue-9     2/2     Running            0               18m   10.244.1.248      ins1vm    <none>           <none>
