Data plane is up
Running irtt
UE IP is 10.45.0.7
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=21.27ms rd=-2m4s sd=2m4s ipdv=n/a
seq=1 rtt=10.72ms rd=-2m12s sd=2m12s ipdv=10.55ms
seq=2 rtt=22.22ms rd=-2m19s sd=2m19s ipdv=11.5ms
seq=3 rtt=12.76ms rd=-2m26s sd=2m26s ipdv=9.45ms
seq=4 rtt=23.86ms rd=-2m34s sd=2m34s ipdv=11.09ms
seq=5 rtt=14.97ms rd=-2m41s sd=2m41s ipdv=8.89ms
seq=6 rtt=26.11ms rd=-2m49s sd=2m49s ipdv=11.14ms
seq=7 rtt=15.95ms rd=-2m56s sd=2m56s ipdv=10.16ms
seq=8 rtt=27.92ms rd=-3m3s sd=3m3s ipdv=11.97ms
seq=9 rtt=17.9ms rd=-3m10s sd=3m10s ipdv=10.02ms
seq=10 rtt=9.06ms rd=-3m18s sd=3m18s ipdv=8.84ms
seq=11 rtt=20.2ms rd=-3m25s sd=3m25s ipdv=11.14ms
seq=12 rtt=9.65ms rd=-3m32s sd=3m32s ipdv=10.55ms
seq=13 rtt=21.35ms rd=-3m40s sd=3m40s ipdv=11.69ms
seq=14 rtt=11.7ms rd=-3m47s sd=3m47s ipdv=9.64ms
seq=15 rtt=22.74ms rd=-3m54s sd=3m54s ipdv=11.03ms
seq=16 rtt=13.04ms rd=-4m1s sd=4m1s ipdv=9.7ms
seq=17 rtt=24.83ms rd=-4m9s sd=4m9s ipdv=11.79ms
seq=18 rtt=14.86ms rd=-4m16s sd=4m16s ipdv=9.97ms
seq=19 rtt=25.85ms rd=-4m23s sd=4m23s ipdv=10.99ms
seq=20 rtt=15.58ms rd=-4m30s sd=4m31s ipdv=10.28ms
seq=21 rtt=27.72ms rd=-4m38s sd=4m38s ipdv=12.15ms
seq=22 rtt=17.91ms rd=-4m45s sd=4m45s ipdv=9.81ms
seq=23 rtt=9.65ms rd=-4m52s sd=4m52s ipdv=8.27ms
seq=24 rtt=18.82ms rd=-5m0s sd=5m0s ipdv=9.18ms
seq=25 rtt=9.06ms rd=-5m7s sd=5m7s ipdv=9.76ms
seq=26 rtt=20.86ms rd=-5m14s sd=5m14s ipdv=11.8ms
seq=27 rtt=11.47ms rd=-5m21s sd=5m21s ipdv=9.39ms
seq=28 rtt=22.97ms rd=-5m29s sd=5m29s ipdv=11.5ms
seq=29 rtt=12.77ms rd=-5m36s sd=5m36s ipdv=10.2ms
seq=30 rtt=23.91ms rd=-5m43s sd=5m43s ipdv=11.14ms
seq=31 rtt=14.82ms rd=-5m50s sd=5m50s ipdv=9.08ms
seq=32 rtt=26.16ms rd=-5m58s sd=5m58s ipdv=11.33ms
seq=33 rtt=15.96ms rd=-6m5s sd=6m5s ipdv=10.2ms
seq=34 rtt=27.77ms rd=-6m12s sd=6m12s ipdv=11.81ms
seq=35 rtt=17.86ms rd=-6m20s sd=6m20s ipdv=9.91ms
seq=36 rtt=9.16ms rd=-6m27s sd=6m27s ipdv=8.7ms
seq=37 rtt=20.04ms rd=-6m34s sd=6m34s ipdv=10.89ms
seq=38 rtt=9.6ms rd=-6m41s sd=6m41s ipdv=10.44ms
seq=39 rtt=20.93ms rd=-6m49s sd=6m49s ipdv=11.33ms
seq=40 rtt=11.54ms rd=-6m56s sd=6m56s ipdv=9.39ms
seq=41 rtt=22.34ms rd=-7m3s sd=7m3s ipdv=10.79ms
seq=42 rtt=12.83ms rd=-7m10s sd=7m10s ipdv=9.5ms
seq=43 rtt=24.44ms rd=-7m18s sd=7m18s ipdv=11.6ms
seq=44 rtt=14.8ms rd=-7m25s sd=7m25s ipdv=9.64ms
seq=45 rtt=25.64ms rd=-7m32s sd=7m32s ipdv=10.85ms
seq=46 rtt=16.03ms rd=-7m39s sd=7m39s ipdv=9.62ms
seq=47 rtt=27.63ms rd=-7m47s sd=7m47s ipdv=11.6ms
seq=48 rtt=17.99ms rd=-7m54s sd=7m54s ipdv=9.64ms
seq=49 rtt=8.58ms rd=-8m1s sd=8m1s ipdv=9.41ms
seq=50 rtt=19.22ms rd=-8m8s sd=8m8s ipdv=10.64ms
seq=51 rtt=9.78ms rd=-8m16s sd=8m16s ipdv=9.44ms
seq=52 rtt=21.26ms rd=-8m23s sd=8m23s ipdv=11.49ms
seq=53 rtt=10.72ms rd=-8m30s sd=8m30s ipdv=10.55ms
seq=54 rtt=22.11ms rd=-8m38s sd=8m38s ipdv=11.4ms
seq=55 rtt=12.36ms rd=-8m45s sd=8m45s ipdv=9.75ms
seq=56 rtt=24.22ms rd=-8m52s sd=8m52s ipdv=11.86ms
seq=57 rtt=13.85ms rd=-8m59s sd=8m59s ipdv=10.37ms
seq=58 rtt=26.26ms rd=-9m7s sd=9m7s ipdv=12.4ms
seq=59 rtt=16.06ms rd=-9m14s sd=9m14s ipdv=10.2ms
seq=60 rtt=27.26ms rd=-9m21s sd=9m21s ipdv=11.2ms
seq=61 rtt=17.7ms rd=-9m29s sd=9m29s ipdv=9.56ms
seq=62 rtt=28.8ms rd=-9m36s sd=9m36s ipdv=11.1ms
seq=63 rtt=19.72ms rd=-9m43s sd=9m43s ipdv=9.08ms
seq=64 rtt=9.91ms rd=-9m50s sd=9m50s ipdv=9.8ms
