Data plane is up
Running irtt
UE IP is 10.45.0.25
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=20.17ms rd=-2m15s sd=2m15s ipdv=n/a
seq=1 rtt=9.65ms rd=-2m22s sd=2m22s ipdv=10.52ms
seq=2 rtt=21.79ms rd=-2m29s sd=2m29s ipdv=12.14ms
seq=3 rtt=11.61ms rd=-2m36s sd=2m36s ipdv=10.19ms
seq=4 rtt=23.26ms rd=-2m44s sd=2m44s ipdv=11.65ms
seq=5 rtt=12.65ms rd=-2m51s sd=2m51s ipdv=10.62ms
seq=6 rtt=24.58ms rd=-2m59s sd=2m59s ipdv=11.94ms
seq=7 rtt=14.89ms rd=-3m6s sd=3m6s ipdv=9.69ms
seq=8 rtt=26.1ms rd=-3m13s sd=3m13s ipdv=11.21ms
seq=9 rtt=16.84ms rd=-3m21s sd=3m21s ipdv=9.26ms
seq=10 rtt=28.04ms rd=-3m28s sd=3m28s ipdv=11.2ms
seq=11 rtt=18.58ms rd=-3m35s sd=3m35s ipdv=9.46ms
seq=12 rtt=8.69ms rd=-3m42s sd=3m42s ipdv=9.9ms
seq=13 rtt=20.08ms rd=-3m50s sd=3m50s ipdv=11.4ms
seq=14 rtt=9.74ms rd=-3m57s sd=3m57s ipdv=10.34ms
seq=15 rtt=20.97ms rd=-4m4s sd=4m4s ipdv=11.22ms
seq=16 rtt=11.87ms rd=-4m11s sd=4m11s ipdv=9.09ms
seq=17 rtt=22.86ms rd=-4m19s sd=4m19s ipdv=10.98ms
seq=18 rtt=12.76ms rd=-4m26s sd=4m26s ipdv=10.1ms
seq=19 rtt=24.25ms rd=-4m33s sd=4m33s ipdv=11.49ms
seq=20 rtt=14.86ms rd=-4m40s sd=4m40s ipdv=9.39ms
seq=21 rtt=26.39ms rd=-4m48s sd=4m48s ipdv=11.53ms
seq=22 rtt=15.95ms rd=-4m55s sd=4m55s ipdv=10.44ms
seq=23 rtt=27ms rd=-5m2s sd=5m2s ipdv=11.05ms
seq=24 rtt=18.05ms rd=-5m10s sd=5m10s ipdv=8.95ms
seq=25 rtt=28.89ms rd=-5m17s sd=5m17s ipdv=10.85ms
seq=26 rtt=19.54ms rd=-5m24s sd=5m24s ipdv=9.35ms
seq=27 rtt=9.85ms rd=-5m31s sd=5m31s ipdv=9.7ms
seq=28 rtt=21.13ms rd=-5m39s sd=5m39s ipdv=11.28ms
seq=29 rtt=11.66ms rd=-5m46s sd=5m46s ipdv=9.47ms
seq=30 rtt=22.33ms rd=-5m53s sd=5m53s ipdv=10.68ms
seq=31 rtt=12.8ms rd=-6m0s sd=6m0s ipdv=9.53ms
seq=32 rtt=24.17ms rd=-6m8s sd=6m8s ipdv=11.37ms
seq=33 rtt=14.64ms rd=-6m15s sd=6m15s ipdv=9.53ms
seq=34 rtt=25.54ms rd=-6m22s sd=6m22s ipdv=10.9ms
seq=35 rtt=15.87ms rd=-6m30s sd=6m30s ipdv=9.67ms
seq=36 rtt=27.99ms rd=-6m37s sd=6m37s ipdv=12.11ms
seq=37 rtt=17.76ms rd=-6m44s sd=6m44s ipdv=10.23ms
seq=38 rtt=8.83ms rd=-6m51s sd=6m51s ipdv=8.92ms
seq=39 rtt=19.23ms rd=-6m59s sd=6m59s ipdv=10.39ms
seq=40 rtt=9.63ms rd=-7m6s sd=7m6s ipdv=9.59ms
seq=41 rtt=21.52ms rd=-7m13s sd=7m13s ipdv=11.89ms
seq=42 rtt=11.73ms rd=-7m20s sd=7m20s ipdv=9.79ms
seq=43 rtt=23.41ms rd=-7m28s sd=7m28s ipdv=11.69ms
seq=44 rtt=12.71ms rd=-7m35s sd=7m35s ipdv=10.7ms
seq=45 rtt=24ms rd=-7m42s sd=7m42s ipdv=11.29ms
seq=46 rtt=14.97ms rd=-7m49s sd=7m49s ipdv=9.03ms
seq=47 rtt=25.54ms rd=-7m57s sd=7m57s ipdv=10.57ms
seq=48 rtt=15.95ms rd=-8m4s sd=8m4s ipdv=9.6ms
seq=49 rtt=26.56ms rd=-8m11s sd=8m11s ipdv=10.61ms
seq=50 rtt=17.85ms rd=-8m18s sd=8m18s ipdv=8.71ms
seq=51 rtt=8.95ms rd=-8m25s sd=8m26s ipdv=8.9ms
seq=52 rtt=19.13ms rd=-8m33s sd=8m33s ipdv=10.18ms
seq=53 rtt=9.8ms rd=-8m40s sd=8m40s ipdv=9.34ms
seq=54 rtt=21.34ms rd=-8m48s sd=8m48s ipdv=11.54ms
seq=55 rtt=10.39ms rd=-8m55s sd=8m55s ipdv=10.95ms
seq=56 rtt=22.27ms rd=-9m2s sd=9m2s ipdv=11.88ms
seq=57 rtt=12.74ms rd=-9m9s sd=9m9s ipdv=9.53ms
seq=58 rtt=24.53ms rd=-9m17s sd=9m17s ipdv=11.8ms
seq=59 rtt=13.83ms rd=-9m24s sd=9m24s ipdv=10.71ms
seq=60 rtt=25.13ms rd=-9m31s sd=9m31s ipdv=11.3ms
seq=61 rtt=16.03ms rd=-9m38s sd=9m38s ipdv=9.09ms
seq=62 rtt=26.56ms rd=-9m46s sd=9m46s ipdv=10.53ms
seq=63 rtt=17.02ms rd=-9m53s sd=9m53s ipdv=9.55ms
