Data plane is up
Running irtt
UE IP is 10.45.0.2
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=21.33ms rd=-2m8s sd=2m8s ipdv=n/a
seq=1 rtt=10.55ms rd=-2m15s sd=2m15s ipdv=10.78ms
seq=2 rtt=22.19ms rd=-2m23s sd=2m23s ipdv=11.65ms
seq=3 rtt=12.67ms rd=-2m30s sd=2m30s ipdv=9.53ms
seq=4 rtt=24.54ms rd=-2m37s sd=2m37s ipdv=11.87ms
seq=5 rtt=14.9ms rd=-2m44s sd=2m44s ipdv=9.64ms
seq=6 rtt=26.15ms rd=-2m52s sd=2m52s ipdv=11.25ms
seq=7 rtt=15.91ms rd=-2m59s sd=2m59s ipdv=10.24ms
seq=8 rtt=125ms rd=-3m7s sd=3m7s ipdv=109ms
seq=9 rtt=17.97ms rd=-3m14s sd=3m14s ipdv=107ms
seq=10 rtt=9.48ms rd=-3m21s sd=3m21s ipdv=8.49ms
seq=11 rtt=19.19ms rd=-3m29s sd=3m29s ipdv=9.72ms
seq=12 rtt=9.32ms rd=-3m36s sd=3m36s ipdv=9.87ms
seq=13 rtt=21.09ms rd=-3m43s sd=3m43s ipdv=11.77ms
seq=14 rtt=11.75ms rd=-3m50s sd=3m50s ipdv=9.34ms
seq=15 rtt=22.38ms rd=-3m58s sd=3m58s ipdv=10.63ms
seq=16 rtt=12.91ms rd=-4m5s sd=4m5s ipdv=9.47ms
seq=17 rtt=24.13ms rd=-4m12s sd=4m12s ipdv=11.22ms
seq=18 rtt=14.94ms rd=-4m19s sd=4m19s ipdv=9.18ms
seq=19 rtt=25.74ms rd=-4m27s sd=4m27s ipdv=10.8ms
seq=20 rtt=15.85ms rd=-4m34s sd=4m34s ipdv=9.89ms
seq=21 rtt=27.02ms rd=-4m41s sd=4m41s ipdv=11.17ms
seq=22 rtt=18.08ms rd=-4m48s sd=4m48s ipdv=8.93ms
seq=23 rtt=125.8ms rd=-4m56s sd=4m56s ipdv=107.7ms
seq=24 rtt=19.39ms rd=-5m3s sd=5m3s ipdv=106.4ms
seq=25 rtt=9.98ms rd=-5m10s sd=5m10s ipdv=9.41ms
seq=26 rtt=21.32ms rd=-5m17s sd=5m17s ipdv=11.34ms
seq=27 rtt=10.63ms rd=-5m25s sd=5m25s ipdv=10.69ms
seq=28 rtt=22.21ms rd=-5m32s sd=5m32s ipdv=11.58ms
seq=29 rtt=12.93ms rd=-5m39s sd=5m39s ipdv=9.29ms
seq=30 rtt=24.01ms rd=-5m47s sd=5m47s ipdv=11.09ms
seq=31 rtt=13.82ms rd=-5m54s sd=5m54s ipdv=10.19ms
seq=32 rtt=25.7ms rd=-6m1s sd=6m1s ipdv=11.88ms
seq=33 rtt=16.01ms rd=-6m8s sd=6m8s ipdv=9.69ms
seq=34 rtt=27.21ms rd=-6m16s sd=6m16s ipdv=11.2ms
seq=35 rtt=18.09ms rd=-6m23s sd=6m23s ipdv=9.12ms
seq=36 rtt=28.14ms rd=-6m30s sd=6m30s ipdv=10.05ms
seq=37 rtt=18.73ms rd=-6m38s sd=6m38s ipdv=9.41ms
seq=38 rtt=9.62ms rd=-6m45s sd=6m45s ipdv=9.11ms
seq=39 rtt=20.21ms rd=-6m52s sd=6m52s ipdv=10.59ms
seq=40 rtt=10.54ms rd=-6m59s sd=6m59s ipdv=9.68ms
seq=41 rtt=22.13ms rd=-7m7s sd=7m7s ipdv=11.59ms
seq=42 rtt=12.77ms rd=-7m14s sd=7m14s ipdv=9.36ms
seq=43 rtt=24.38ms rd=-7m21s sd=7m21s ipdv=11.61ms
seq=44 rtt=13.88ms rd=-7m28s sd=7m28s ipdv=10.5ms
seq=45 rtt=25.72ms rd=-7m36s sd=7m36s ipdv=11.84ms
seq=46 rtt=15.76ms rd=-7m43s sd=7m43s ipdv=9.97ms
seq=47 rtt=27.15ms rd=-7m50s sd=7m50s ipdv=11.4ms
seq=48 rtt=17.03ms rd=-7m57s sd=7m57s ipdv=10.12ms
seq=49 rtt=126ms rd=-8m5s sd=8m5s ipdv=108.9ms
seq=50 rtt=18.68ms rd=-8m12s sd=8m12s ipdv=107.3ms
seq=51 rtt=8.56ms rd=-8m19s sd=8m19s ipdv=10.12ms
seq=52 rtt=20.01ms rd=-8m26s sd=8m26s ipdv=11.45ms
seq=53 rtt=9.97ms rd=-8m33s sd=8m33s ipdv=10.04ms
seq=54 rtt=22.36ms rd=-8m41s sd=8m41s ipdv=12.39ms
seq=55 rtt=11.76ms rd=-8m48s sd=8m48s ipdv=10.6ms
seq=56 rtt=23.89ms rd=-8m56s sd=8m56s ipdv=12.13ms
seq=57 rtt=13.92ms rd=-9m3s sd=9m3s ipdv=9.97ms
seq=58 rtt=24.83ms rd=-9m10s sd=9m10s ipdv=10.91ms
seq=59 rtt=14.95ms rd=-9m17s sd=9m17s ipdv=9.89ms
seq=60 rtt=27ms rd=-9m25s sd=9m25s ipdv=12.05ms
seq=61 rtt=16.45ms rd=-9m32s sd=9m32s ipdv=10.55ms
seq=62 rtt=27.1ms rd=-9m39s sd=9m39s ipdv=10.65ms
seq=63 rtt=17.74ms rd=-9m46s sd=9m46s ipdv=9.36ms
