minute,x2ap,s1ap,rrc
1,3,2,7
2,0,0,0
3,0,0,0
4,0,0,0
5,3,2,7
6,0,0,0
7,3,2,7
8,0,0,0
9,6,4,14
10,0,0,0
11,3,2,7
12,0,0,0
13,3,2,7
