minute,x2ap,s1ap,rrc
0,6,4,14
1,6,4,14
2,6,4,14
3,12,8,28
4,9,6,21
5,6,4,14
6,3,2,7
7,0,0,0
8,9,6,21
9,6,4,14
10,3,2,7
11,6,4,14
12,3,2,7
13,6,4,14
