Data plane is up
Running irtt
UE IP is 10.45.0.9
[Connecting] connecting to 10.4.1.1
[10.4.1.1:2112] [Connected] connection established
seq=0 rtt=231.7ms rd=41.87ms sd=189.8ms ipdv=n/a
seq=1 rtt=169.6ms rd=32.28ms sd=137.3ms ipdv=62.1ms
seq=2 rtt=131.9ms rd=48.13ms sd=83.84ms ipdv=37.64ms
seq=3 rtt=278.5ms rd=31.56ms sd=246.9ms ipdv=146.6ms
seq=4 rtt=239.9ms rd=47.56ms sd=192.3ms ipdv=38.6ms
seq=5 rtt=174ms rd=46.68ms sd=127.3ms ipdv=65.94ms
seq=6 rtt=112.6ms rd=39.02ms sd=73.61ms ipdv=61.34ms
seq=7 rtt=262.1ms rd=17.87ms sd=244.2ms ipdv=149.5ms
seq=8 rtt=219.4ms rd=54.75ms sd=164.7ms ipdv=42.7ms
seq=9 rtt=165.9ms rd=62.1ms sd=103.8ms ipdv=53.49ms
seq=10 rtt=315.6ms rd=37ms sd=278.6ms ipdv=149.7ms
seq=11 rtt=265.1ms rd=41.63ms sd=223.4ms ipdv=50.54ms
seq=12 rtt=192.4ms rd=31.11ms sd=161.3ms ipdv=72.64ms
seq=13 rtt=146.9ms rd=38.69ms sd=108.2ms ipdv=45.54ms
seq=14 rtt=340ms rd=65.62ms sd=274.4ms ipdv=193.1ms
seq=15 rtt=284.5ms rd=66.22ms sd=218.2ms ipdv=55.54ms
seq=16 rtt=208.5ms rd=50.36ms sd=158.1ms ipdv=75.99ms
seq=17 rtt=136.2ms rd=28.09ms sd=108.1ms ipdv=72.24ms
seq=18 rtt=323.9ms rd=25.99ms sd=297.9ms ipdv=187.6ms
seq=19 rtt=266.6ms rd=39.87ms sd=226.7ms ipdv=57.24ms
seq=20 rtt=185.6ms rd=24.11ms sd=161.5ms ipdv=80.99ms
seq=21 rtt=143.3ms rd=36.01ms sd=107.3ms ipdv=42.34ms
seq=22 rtt=331.8ms rd=39.73ms sd=292.1ms ipdv=188.5ms
seq=23 rtt=274ms rd=48.02ms sd=226ms ipdv=57.79ms
seq=24 rtt=205ms rd=48.42ms sd=156.6ms ipdv=68.99ms
seq=25 rtt=143.3ms rd=62.53ms sd=80.8ms ipdv=61.69ms
seq=26 rtt=308ms rd=29.2ms sd=278.8ms ipdv=164.7ms
seq=27 rtt=260.2ms rd=42.48ms sd=217.7ms ipdv=47.79ms
seq=28 rtt=194.9ms rd=35.51ms sd=159.4ms ipdv=65.34ms
seq=29 rtt=133.2ms rd=35.29ms sd=97.89ms ipdv=61.69ms
seq=30 rtt=308.2ms rd=34.29ms sd=273.9ms ipdv=175ms
seq=31 rtt=272.6ms rd=47.82ms sd=224.8ms ipdv=35.59ms
seq=32 rtt=207ms rd=66.31ms sd=140.7ms ipdv=65.55ms
seq=33 rtt=146.4ms rd=54.07ms sd=92.36ms ipdv=60.59ms
seq=34 rtt=298.3ms rd=36.71ms sd=261.6ms ipdv=151.9ms
seq=35 rtt=253.5ms rd=45.1ms sd=208.4ms ipdv=44.85ms
seq=36 rtt=208.7ms rd=54.84ms sd=153.9ms ipdv=44.75ms
seq=37 rtt=139.8ms rd=46.84ms sd=92.94ms ipdv=68.94ms
seq=38 rtt=316.6ms rd=20.69ms sd=295.9ms ipdv=176.8ms
seq=39 rtt=269.1ms rd=57.2ms sd=211.9ms ipdv=47.45ms
seq=40 rtt=215.9ms rd=69.32ms sd=146.6ms ipdv=53.19ms
seq=41 rtt=144.5ms rd=53.35ms sd=91.13ms ipdv=71.44ms
seq=42 rtt=321ms rd=31.33ms sd=289.6ms ipdv=176.5ms
seq=43 rtt=264.5ms rd=35.49ms sd=229ms ipdv=56.5ms
seq=44 rtt=204.9ms rd=34.93ms sd=170ms ipdv=59.54ms
seq=45 rtt=158ms rd=47.1ms sd=110.9ms ipdv=46.94ms
seq=46 rtt=562.7ms rd=37.26ms sd=525.4ms ipdv=404.7ms
seq=47 rtt=287.3ms rd=53.88ms sd=233.4ms ipdv=275.4ms
seq=48 rtt=217ms rd=45.03ms sd=171.9ms ipdv=70.34ms
seq=49 rtt=174.3ms rd=65.03ms sd=109.3ms ipdv=42.65ms
seq=50 rtt=326.6ms rd=23.08ms sd=303.5ms ipdv=152.2ms
seq=51 rtt=266.7ms rd=29.72ms sd=237ms ipdv=59.9ms
seq=52 rtt=215.6ms rd=52.26ms sd=163.3ms ipdv=51.09ms
seq=53 rtt=156.9ms rd=44.56ms sd=112.3ms ipdv=58.7ms
seq=54 rtt=770.3ms rd=50.05ms sd=720.2ms ipdv=613.4ms
seq=55 rtt=290.3ms rd=39.84ms sd=250.5ms ipdv=480ms
seq=56 rtt=213.4ms rd=53.95ms sd=159.5ms ipdv=76.89ms
seq=57 rtt=170.6ms rd=52.52ms sd=118.1ms ipdv=42.85ms
seq=58 rtt=323.7ms rd=29.97ms sd=293.8ms ipdv=153.1ms
seq=59 rtt=253.7ms rd=27.65ms sd=226ms ipdv=70.04ms
seq=60 rtt=214.9ms rd=42.86ms sd=172ms ipdv=38.8ms
seq=61 rtt=139ms rd=28.13ms sd=110.9ms ipdv=75.85ms
seq=62 rtt=320.3ms rd=23.58ms sd=296.7ms ipdv=181.3ms
seq=63 rtt=276ms rd=52.7ms sd=223.3ms ipdv=44.3ms
seq=64 rtt=215.7ms rd=54.87ms sd=160.8ms ipdv=60.35ms
seq=65 rtt=172.2ms rd=72.36ms sd=99.87ms ipdv=43.45ms
seq=66 rtt=315.4ms rd=28.35ms sd=287ms ipdv=143.2ms
seq=67 rtt=273.2ms rd=43.42ms sd=229.8ms ipdv=42.15ms
seq=68 rtt=213.2ms rd=47.56ms sd=165.7ms ipdv=60ms
seq=69 rtt=161.6ms rd=49.31ms sd=112.3ms ipdv=51.65ms
seq=70 rtt=324.4ms rd=50.06ms sd=274.3ms ipdv=162.8ms
seq=71 rtt=276.1ms rd=59.81ms sd=216.3ms ipdv=48.29ms
seq=72 rtt=200.2ms rd=56.52ms sd=143.7ms ipdv=75.9ms
seq=73 rtt=149.4ms rd=52.92ms sd=96.53ms ipdv=50.75ms
seq=74 rtt=312.7ms rd=36.83ms sd=275.8ms ipdv=163.2ms
seq=75 rtt=268.3ms rd=59.14ms sd=209.1ms ipdv=44.39ms
seq=76 rtt=195.9ms rd=42.9ms sd=153ms ipdv=72.35ms
seq=77 rtt=161.1ms rd=47.65ms sd=113.5ms ipdv=34.8ms
seq=78 rtt=324.1ms rd=20.49ms sd=303.6ms ipdv=163ms
seq=79 rtt=259.2ms rd=41.55ms sd=217.7ms ipdv=64.9ms
seq=80 rtt=206.7ms rd=44.57ms sd=162.1ms ipdv=52.54ms
seq=81 rtt=149.4ms rd=59.25ms sd=90.14ms ipdv=57.31ms
seq=82 rtt=1.17s rd=19.89ms sd=1.15s ipdv=1.02s
seq=83 rtt=672.4ms rd=19.89ms sd=652.5ms ipdv=499.6ms
seq=84 rtt=188.6ms rd=30.48ms sd=158.2ms ipdv=483.8ms
seq=85 rtt=119ms rd=25.92ms sd=93.06ms ipdv=69.65ms
seq=86 rtt=307.1ms rd=50.09ms sd=257ms ipdv=188.2ms
seq=87 rtt=230.8ms rd=37.96ms sd=192.9ms ipdv=76.3ms
seq=88 rtt=173.7ms rd=54.27ms sd=119.5ms ipdv=57.1ms
seq=89 rtt=349.2ms rd=39.73ms sd=309.5ms ipdv=175.5ms
seq=90 rtt=284.9ms rd=44.51ms sd=240.4ms ipdv=64.34ms
seq=91 rtt=230.6ms rd=52.79ms sd=177.8ms ipdv=54.3ms
seq=92 rtt=152.5ms rd=27.92ms sd=124.6ms ipdv=78.05ms
seq=93 rtt=118ms rd=28.72ms sd=89.37ms ipdv=34.51ms
seq=94 rtt=281.9ms rd=34.45ms sd=247.4ms ipdv=163.9ms
seq=95 rtt=229.5ms rd=63.17ms sd=166.3ms ipdv=52.4ms
seq=96 rtt=166.6ms rd=56.33ms sd=110.3ms ipdv=62.9ms
seq=97 rtt=313.7ms rd=20.37ms sd=293.3ms ipdv=147.1ms
seq=98 rtt=255.8ms rd=32.37ms sd=223.5ms ipdv=57.89ms
seq=99 rtt=196.1ms rd=31.29ms sd=164.9ms ipdv=59.7ms
seq=100 rtt=162.9ms rd=53.28ms sd=109.7ms ipdv=33.21ms
seq=101 rtt=324.8ms rd=50.67ms sd=274.2ms ipdv=161.9ms
seq=102 rtt=267.4ms rd=42.77ms sd=224.7ms ipdv=57.4ms
seq=103 rtt=206.9ms rd=53.05ms sd=153.8ms ipdv=60.54ms
seq=104 rtt=159.8ms rd=55.12ms sd=104.7ms ipdv=47.05ms
seq=105 rtt=316.1ms rd=21.66ms sd=294.4ms ipdv=156.2ms
seq=106 rtt=268.2ms rd=41.23ms sd=227ms ipdv=47.84ms
seq=107 rtt=212.3ms rd=55.93ms sd=156.4ms ipdv=55.9ms
seq=108 rtt=146.5ms rd=36.82ms sd=109.7ms ipdv=65.8ms
seq=109 rtt=334.3ms rd=29.44ms sd=304.8ms ipdv=187.7ms
seq=110 rtt=282.6ms rd=56.29ms sd=226.3ms ipdv=51.7ms
seq=111 rtt=223.7ms rd=51.63ms sd=172.1ms ipdv=58.89ms
seq=112 rtt=161ms rd=51.45ms sd=109.6ms ipdv=62.66ms
seq=113 rtt=314.7ms rd=28.76ms sd=285.9ms ipdv=153.6ms
seq=114 rtt=260.6ms rd=30.39ms sd=230.2ms ipdv=54.1ms
seq=115 rtt=197.2ms rd=37.23ms sd=160ms ipdv=63.4ms
seq=116 rtt=152.1ms rd=44.97ms sd=107.1ms ipdv=45.1ms
seq=117 rtt=321.6ms rd=32.37ms sd=289.2ms ipdv=169.5ms
seq=118 rtt=270.1ms rd=41.22ms sd=228.9ms ipdv=51.49ms
seq=119 rtt=185.1ms rd=29.49ms sd=155.6ms ipdv=85ms
seq=120 rtt=138.5ms rd=29.66ms sd=108.8ms ipdv=46.61ms
seq=121 rtt=286.3ms rd=18.58ms sd=267.8ms ipdv=147.8ms
seq=122 rtt=237.6ms rd=36.7ms sd=200.9ms ipdv=48.75ms
seq=123 rtt=171.1ms rd=28.58ms sd=142.5ms ipdv=66.49ms
seq=124 rtt=132.4ms rd=44.74ms sd=87.75ms ipdv=38.66ms
seq=125 rtt=284.7ms rd=44.02ms sd=240.7ms ipdv=152.2ms
seq=126 rtt=236.2ms rd=34.88ms sd=201.4ms ipdv=48.45ms
seq=127 rtt=194.1ms rd=46.16ms sd=148ms ipdv=42.1ms
seq=128 rtt=142ms rd=53.21ms sd=88.83ms ipdv=52.1ms
seq=129 rtt=283ms rd=33.7ms sd=249.3ms ipdv=140.9ms
seq=130 rtt=222.6ms rd=42.37ms sd=180.3ms ipdv=60.34ms
seq=131 rtt=157ms rd=33ms sd=124ms ipdv=65.61ms
seq=132 rtt=120.2ms rd=36.85ms sd=83.39ms ipdv=36.8ms
seq=133 rtt=282.8ms rd=22.57ms sd=260.2ms ipdv=162.5ms
seq=134 rtt=216.1ms rd=50.71ms sd=165.4ms ipdv=66.65ms
seq=135 rtt=165.8ms rd=70.84ms sd=95ms ipdv=50.3ms
seq=136 rtt=314.1ms rd=24.76ms sd=289.3ms ipdv=148.2ms
seq=137 rtt=259.9ms rd=32.63ms sd=227.3ms ipdv=54.2ms
seq=138 rtt=217.9ms rd=52.68ms sd=165.2ms ipdv=42ms
seq=139 rtt=143.8ms rd=36.27ms sd=107.6ms ipdv=74.05ms
seq=140 rtt=329.1ms rd=55.77ms sd=273.4ms ipdv=185.3ms
seq=141 rtt=250.9ms rd=40.94ms sd=209.9ms ipdv=78.25ms
seq=142 rtt=219ms rd=63.9ms sd=155.1ms ipdv=31.89ms
seq=143 rtt=158.3ms rd=53.82ms sd=104.5ms ipdv=60.66ms
seq=144 rtt=291ms rd=21.26ms sd=269.7ms ipdv=132.6ms
seq=145 rtt=233.9ms rd=29.03ms sd=204.9ms ipdv=57.05ms
