minute,x2ap,s1ap,rrc
0,3,2,7
1,0,0,0
2,9,6,21
3,3,2,7
4,6,4,14
5,6,4,14
6,3,2,7
7,9,6,21
8,3,2,7
9,3,2,7
10,0,0,0
11,0,0,0
12,0,0,0
13,3,2,7
14,3,2,7
