minute,x2ap,s1ap,rrc
0,6,4,14
1,12,8,28
2,6,4,14
3,9,6,21
4,6,4,14
5,3,2,7
6,9,6,21
7,3,2,7
8,3,2,7
9,6,4,14
10,0,0,0
11,0,0,0
12,0,0,0
13,3,2,7
14,9,6,21
