# proxy downlink barrier profile
# arm_clock_monotonic_ns=94746442790710
# arm_clock_realtime_ns=1785735632422851513
# dump_clock_monotonic_ns=94927792913827
# dump_clock_realtime_ns=1785735813772974680
# realtime_monotonic_drift_ns=-50
# rounds_recorded=1328 slot_indications_recorded=331932
# round_seq_range=4589..5916
# times are ns; seg_* are us; skip lines beginning with '#'
round_seq,sfn,slot,gnb_count,sfn_slot_mismatch,latest_gnb_id,seg1_kernel_to_wake_us,seg2a_lock_blocked_us,seg2b_drain_us,seg2c_fanout_us,seg3a_unpack_us,seg3b_lock_wait_us,seg4_lock_to_flag_us,seg5a_ue_phase_us,seg5b_gnb_phase_us,seg6_ack_us,total_wait_us,msgs_before_slotind,t0_kernel_real_ns,t0_kernel_mono_ns,t1_wake_ns,t2_dispatch_ns,t2b_prelock_ns,t3_locked_ns,t4_max_ns,lock_blocked_ns,fanout_held_ns,t5_round_start_ns,t6_ue_done_ns,t7_gnb_done_ns,t8_ack_sent_ns,really_finished_ue,really_finished_gnb
4589,229,9,181,0,244,36.929,0.000,8.145,0.000,19.717,38722.404,464.541,0.000,-90.039,53.290,39214.987,0,1785735632496410598,94746516349795,94746516386724,94746516394869,94746516414586,94746555136990,94746555601531,0,0,0,94746450603046,94746555511492,94746555564782,0,1
4590,229,10,250,0,111,28.653,0.000,9.298,0.000,18.384,19577.443,370.404,0.000,10.199,53.431,20067.812,0,1785735632620426897,94746640366094,94746640394747,94746640404045,94746640422429,94746659999872,94746660370276,0,0,94746556123640,94746567695354,94746660380475,94746660433906,0,1
4591,229,11,250,0,28,16.952,0.000,6.863,0.000,16.801,70877.798,396.744,0.000,9.127,29.435,71353.720,0,1785735632667621615,94746687560812,94746687577764,94746687584627,94746687601428,94746758479226,94746758875970,0,0,94746660901953,94746672162554,94746758885097,94746758914532,0,1
4592,229,12,250,0,75,-16.982,174642.380,1074.785,896.441,22.552,0.061,88.716,0.000,10.560,54.261,176772.774,3,1785735632750352915,94746770292112,94746770275130,94746946888736,94746946911288,94746946911349,94746947000065,174642380,896441,94746759333197,94746770727679,94746947010625,94746947064886,0,1
4593,229,13,250,0,69,17.904,46229.258,46.036,381.365,20.518,3744.431,249.948,0.000,6.733,48.941,50745.134,1,1785735633062012268,94747081951465,94747081969369,94747128626028,94747128646546,94747132390977,94747132640925,46229258,381365,94746947657758,94746959307568,94747132647658,94747132696599,0,1
4594,229,14,250,0,97,32.450,0.000,11.141,0.000,25.809,26537.191,353.873,0.000,7.374,53.029,27020.867,0,1785735633184160926,94747204100123,94747204132573,94747204143714,94747204169523,94747230706714,94747231060587,0,0,94747133281406,94747145062472,94747231067961,94747231120990,0,1
4595,229,15,250,0,191,17.322,0.000,4.969,0.000,18.846,87389.523,366.577,0.000,1.573,49.894,87848.704,0,1785735633221690064,94747241629261,94747241646583,94747241651552,94747241670398,94747329059921,94747329426498,0,0,94747231704674,94747243317576,94747329428071,94747329477965,0,1
4596,229,16,250,0,223,-39.875,77664.140,1124.518,787.507,22.082,10564.154,347.282,0.000,2.214,50.204,90522.226,2,1785735633318027923,94747337967120,94747337927245,94747417503410,94747417525492,94747428089646,94747428436928,77664140,787507,94747330067209,94747341402340,94747428439142,94747428489346,0,1
4597,229,17,250,0,97,-31.439,83128.645,46.978,426.079,19.437,9390.264,330.580,0.000,11.001,27.982,93349.527,1,1785735633500802098,94747520741295,94747520709856,94747604311558,94747604330995,94747613721259,94747614051839,83128645,426079,94747428995034,94747440268970,94747614062840,94747614090822,0,1
4598,229,18,250,0,24,24.816,84230.451,46.718,393.758,21.139,19627.677,397.064,0.000,3.166,54.663,104799.452,1,1785735633676409188,94747696348385,94747696373201,94747781044128,94747781065267,94747800692944,94747801090008,84230451,393758,94747614624903,94747626898804,94747801093174,94747801147837,0,1
4599,229,19,250,0,186,28.563,66212.051,52.498,389.811,14.838,6663.392,179.427,0.000,6.813,37.730,73585.123,1,1785735633895166903,94747915106100,94747915134663,94747981789023,94747981803861,94747988467253,94747988646680,66212051,389811,94747801660818,94747813224618,94747988653493,94747988691223,0,1
4600,230,0,250,0,22,51.306,173743.835,29822.500,732.774,15.860,91372.029,404.719,0.000,1.252,53.831,296198.106,2,1785735633974191635,94747994130832,94747994182138,94748198481247,94748198497107,94748289869136,94748290273855,173743835,732774,94747989222419,94748006360299,94748290275107,94748290328938,1,1
4601,230,1,250,0,42,-31.118,148041.000,552.776,911.017,19.026,2401.833,105.527,0.000,1.744,28.393,152030.198,3,1785735634324767466,94748344706663,94748344675545,94748494180338,94748494199364,94748496601197,94748496706724,148041000,911017,94748290862649,94748306965938,94748496708468,94748496736861,0,1
4602,230,2,250,0,168,-20.599,81823.489,487.905,790.962,21.570,1516.954,80.110,0.000,2.024,39.043,84741.458,2,1785735634493834184,94748513773381,94748513752782,94748596855138,94748596876708,94748598393662,94748598473772,81823489,790962,94748497261755,94748509372930,94748598475796,94748598514839,0,1
4603,230,3,250,0,114,194.364,0.000,17.443,0.000,21.160,10090.537,338.515,0.000,2.043,40.246,10704.308,0,1785735634665957401,94748685896598,94748686090962,94748686108405,94748686129565,94748696220102,94748696558617,0,0,94748599133459,94748610453151,94748696560660,94748696600906,0,1
4604,230,4,250,0,242,-72.085,88836.215,505.868,851.457,19.707,656.250,83.156,0.000,4.098,36.819,90921.485,2,1785735634685636484,94748705575681,94748705503596,94748795697136,94748795716843,94748796373093,94748796456249,88836215,851457,94748697154954,94748708223014,94748796460347,94748796497166,0,1
4605,230,5,250,0,247,24.225,0.000,11.652,0.000,17.482,41547.632,370.274,0.000,3.015,26.560,42000.840,0,1785735634833205109,94748853144306,94748853168531,94748853180183,94748853197665,94748894745297,94748895115571,0,0,94748797071102,94748808712677,94748895118586,94748895145146,0,1
4606,230,6,250,0,119,24.105,0.000,12.373,0.000,21.310,5361.601,302.527,0.000,1.082,51.858,5774.856,0,1785735634967694623,94748987633820,94748987657925,94748987670298,94748987691608,94748993053209,94748993355736,0,0,94748895681422,94748907447741,94748993356818,94748993408676,0,1
4607,230,7,250,0,116,63.199,11059.604,84.758,407.474,21.791,345.207,87.084,0.000,4.167,31.079,12104.363,1,1785735635147973009,94749167912206,94749167975405,94749179527241,94749179549032,94749179894239,94749179981323,11059604,407474,94748994020603,94749006090060,94749179985490,94749180016569,0,1
4608,230,8,250,0,20,58.980,0.000,10.490,0.000,23.284,5186.743,379.853,0.000,1.392,50.886,5711.628,0,1785735635253922648,94749273861845,94749273920825,94749273931315,94749273954599,94749279141342,94749279521195,0,0,94749180562232,94749191957615,94749279522587,94749279573473,0,1
