# proxy downlink barrier profile
# arm_clock_monotonic_ns=96136833467440
# arm_clock_realtime_ns=1785737022813528223
# dump_clock_monotonic_ns=96209914420233
# dump_clock_realtime_ns=1785737095894481106
# realtime_monotonic_drift_ns=-90
# rounds_recorded=7568 slot_indications_recorded=189176
# round_seq_range=48529..56096
# times are ns; seg_* are us; skip lines beginning with '#'
round_seq,sfn,slot,gnb_count,sfn_slot_mismatch,latest_gnb_id,seg1_kernel_to_wake_us,seg2a_lock_blocked_us,seg2b_drain_us,seg2c_fanout_us,seg3a_unpack_us,seg3b_lock_wait_us,seg4_lock_to_flag_us,seg5a_ue_phase_us,seg5b_gnb_phase_us,seg6_ack_us,total_wait_us,msgs_before_slotind,t0_kernel_real_ns,t0_kernel_mono_ns,t1_wake_ns,t2_dispatch_ns,t2b_prelock_ns,t3_locked_ns,t4_max_ns,lock_blocked_ns,fanout_held_ns,t5_round_start_ns,t6_ue_done_ns,t7_gnb_done_ns,t8_ack_sent_ns,really_finished_ue,really_finished_gnb
48549,379,9,25,0,15,11.893,0.000,4.618,0.000,17.713,2800.679,208.280,0.000,8.165,9.699,3061.047,0,1785737023004733571,96137024672788,96137024684681,96137024689299,96137024707012,96137027507691,96137027715971,0,0,96137020829365,96137024472633,96137027724136,96137027733835,1,1
48550,379,10,25,0,19,11.692,0.000,4.498,0.000,19.086,3319.972,324.719,0.000,5.510,9.748,3695.225,0,1785737023011629975,96137031569192,96137031580884,96137031585382,96137031604468,96137034924440,96137035249159,0,0,96137028288634,96137031380178,96137035254669,96137035264417,1,1
48551,379,11,25,0,22,12.764,0.000,5.079,0.000,20.609,3726.994,269.516,0.000,7.083,9.528,4051.573,0,1785737023018455166,96137038394383,96137038407147,96137038412226,96137038432835,96137042159829,96137042429345,0,0,96137035776337,96137038213384,96137042436428,96137042445956,1,1
48552,379,12,25,0,8,12.844,6215.949,37.349,246.142,22.883,2841.465,207.800,0.000,6.161,9.598,9600.191,1,1785737023027087904,96137047027121,96137047039965,96137053539405,96137053562288,96137056403753,96137056611553,6215949,246142,96137042960610,96137046815685,96137056617714,96137056627312,1,1
48553,379,13,25,0,23,-10.680,4963.272,33.653,105.628,20.909,703.538,88.626,0.000,1.243,9.878,5916.067,1,1785737023043744870,96137063684087,96137063673407,96137068775960,96137068796869,96137069500407,96137069589033,4963272,105628,96137057069070,96137063459967,96137069590276,96137069600154,1,1
48554,379,14,25,0,3,9.538,0.000,4.188,0.000,20.158,3711.154,300.463,0.000,3.727,9.659,4058.887,0,1785737023052474750,96137072413967,96137072423505,96137072427693,96137072447851,96137076159005,96137076459468,0,0,96137070123455,96137072239290,96137076463195,96137076472854,1,1
48555,379,15,25,0,0,13.725,0.000,4.919,0.000,18.034,910.697,298.519,0.000,1.603,9.338,1256.835,0,1785737023062031761,96137081970978,96137081984703,96137081989622,96137082007656,96137082918353,96137083216872,0,0,96137076766334,96137081767386,96137083218475,96137083227813,1,1
48556,379,16,25,0,16,15.369,0.000,5.440,0.000,19.266,3398.479,298.359,0.000,7.434,9.308,3753.655,0,1785737023066448708,96137086387925,96137086403294,96137086408734,96137086428000,96137089826479,96137090124838,0,0,96137083816336,96137086205363,96137090132272,96137090141580,1,1
48557,379,17,25,0,5,-0.140,5713.437,40.325,227.637,20.980,1803.099,172.243,0.000,6.302,9.417,7993.300,1,1785737023075915409,96137095854626,96137095854486,96137101835885,96137101856865,96137103659964,96137103832207,5713437,227637,96137090703142,96137095636958,96137103838509,96137103847926,1,1
48558,379,18,25,0,23,-10.991,6127.033,42.340,97.492,21.270,5497.662,100.629,0.000,8.255,10.049,11893.739,1,1785737023085719493,96137105658710,96137105647719,96137111914584,96137111935854,96137117433516,96137117534145,6127033,97492,96137104341121,96137105440551,96137117542400,96137117552449,1,1
