round_index,proxy_id,sfn,slot,gnb_count,gnb_ips,first_slot_ts_us,latest_slot_ts_us,ack_ts_us,slot_spread_us,wait_us,wait_ms,ack_packet,ack_slot_byte
10,0,960,6,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378015984,1786168378016729,1786168378022029,745,5300,5.300000,3362,0
11,0,960,7,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378027958,1786168378030968,1786168378040472,3010,9504,9.504000,3668,0
12,0,960,8,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378041141,1786168378042015,1786168378053809,874,11794,11.794000,4072,0
13,0,960,9,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378054691,1786168378055583,1786168378060832,892,5249,5.249000,4376,0
14,0,960,10,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378067600,1786168378069367,1786168378073653,1767,4286,4.286000,4580,0
15,0,960,11,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378074488,1786168378075432,1786168378080502,944,5070,5.070000,4784,0
16,0,960,12,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378086869,1786168378087551,1786168378099317,682,11766,11.766000,5088,0
17,0,960,13,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378100798,1786168378101600,1786168378112777,802,11177,11.177000,5392,0
18,0,960,14,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378113417,1786168378115118,1786168378119381,1701,4263,4.263000,5598,0
19,0,960,15,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378125914,1786168378126830,1786168378132528,916,5698,5.698000,5806,0
20,0,960,16,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378133226,1786168378137344,1786168378139230,4118,1886,1.886000,6010,0
21,0,960,17,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378145602,1786168378150056,1786168378157728,4454,7672,7.672000,6315,0
22,0,960,18,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378158607,1786168378163724,1786168378170468,5117,6744,6.744000,6619,0
23,0,960,19,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378171818,1786168378182132,1786168378184770,10314,2638,2.638000,7023,0
24,0,961,0,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378185598,1786168378187753,1786168378192521,2155,4768,4.768000,7445,0
25,0,961,1,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378198893,1786168378202862,1786168378212449,3969,9587,9.587000,7857,0
26,0,961,2,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378213058,1786168378215642,1786168378219423,2584,3781,3.781000,8061,0
27,0,961,3,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378226882,1786168378228048,1786168378233235,1166,5187,5.187000,8266,0
28,0,961,4,25,10.2.2.12;10.2.2.17;10.2.2.2;10.2.2.22;10.2.2.27;10.2.2.32;10.2.2.7;10.2.4.13;10.2.4.18;10.2.4.23;10.2.4.28;10.2.4.3;10.2.4.8;10.2.6.14;10.2.6.19;10.2.6.24;10.2.6.29;10.2.6.4;10.2.6.9;10.2.8.10;10.2.8.15;10.2.8.20;10.2.8.25;10.2.8.30;10.2.8.5,1786168378234298,1786168378236072,1786168378240774,1774,4702,4.702000,8472,0
