NAME       READY   STATUS    RESTARTS   AGE     IP                NODE       NOMINATED NODE   READINESS GATES
core-6     2/2     Running   0          2m45s   128.110.219.50    proxy-6    <none>           <none>
core-7     2/2     Running   0          2m45s   128.110.219.70    proxy-7    <none>           <none>
core-8     2/2     Running   0          2m45s   128.110.219.15    proxy-8    <none>           <none>
core-9     2/2     Running   0          2m45s   128.110.219.150   proxy-9    <none>           <none>
globalsc   1/1     Running   0          2m9s    128.110.219.68    globalsc   <none>           <none>
gnb-0      1/1     Running   0          2m42s   10.2.2.2          ins1vm     <none>           <none>
gnb-1      1/1     Running   0          2m42s   10.2.3.2          ins2vm     <none>           <none>
gnb-2      1/1     Running   0          2m42s   10.2.4.2          ins3vm     <none>           <none>
gnb-3      1/1     Running   0          2m42s   10.2.5.2          ins4vm     <none>           <none>
gnb-4      1/1     Running   0          2m42s   10.2.6.2          ins5vm     <none>           <none>
gnb-5      1/1     Running   0          2m42s   10.2.7.2          ins6vm     <none>           <none>
gnb-6      1/1     Running   0          2m42s   10.2.8.2          ins7vm     <none>           <none>
gnb-7      1/1     Running   0          2m42s   10.2.9.2          ins8vm     <none>           <none>
gnb-8      1/1     Running   0          2m42s   10.2.10.2         ins9vm     <none>           <none>
gnb-9      1/1     Running   0          2m42s   10.2.11.2         ins10vm    <none>           <none>
irtt       1/1     Running   0          2m9s    128.110.219.68    globalsc   <none>           <none>
proxy-0    1/1     Running   0          2m2s    128.110.219.125   proxy-0    <none>           <none>
proxy-1    1/1     Running   0          2m2s    128.110.219.57    proxy-1    <none>           <none>
proxy-10   1/1     Running   0          2m2s    128.110.219.33    proxy-10   <none>           <none>
proxy-11   1/1     Running   0          2m2s    128.110.219.90    proxy-11   <none>           <none>
proxy-12   1/1     Running   0          2m2s    128.110.219.36    proxy-12   <none>           <none>
proxy-13   1/1     Running   0          2m2s    128.110.219.28    proxy-13   <none>           <none>
proxy-14   1/1     Running   0          2m2s    128.110.219.130   proxy-14   <none>           <none>
proxy-15   1/1     Running   0          2m2s    128.110.219.21    proxy-15   <none>           <none>
proxy-16   1/1     Running   0          2m2s    128.110.219.122   proxy-16   <none>           <none>
proxy-17   1/1     Running   0          2m2s    128.110.219.133   proxy-17   <none>           <none>
proxy-18   1/1     Running   0          2m2s    128.110.219.55    proxy-18   <none>           <none>
proxy-19   1/1     Running   0          2m2s    128.110.219.81    proxy-19   <none>           <none>
proxy-2    1/1     Running   0          2m2s    128.110.219.45    proxy-2    <none>           <none>
proxy-20   1/1     Running   0          2m2s    128.110.219.23    proxy-20   <none>           <none>
proxy-21   1/1     Running   0          2m2s    128.110.219.89    proxy-21   <none>           <none>
proxy-22   1/1     Running   0          2m2s    128.110.219.17    proxy-22   <none>           <none>
proxy-23   1/1     Running   0          2m2s    128.110.219.138   proxy-23   <none>           <none>
