minute,x2ap,s1ap,rrc
0,3,2,7
1,3,2,7
2,9,6,21
3,3,2,7
4,6,4,14
5,6,4,14
6,9,6,21
7,3,2,7
8,6,4,14
9,0,0,0
10,0,0,0
11,3,2,7
12,6,4,14
13,9,6,21
14,3,2,7
